dataset,癌种,K_celltypes,total_cells,lineage_coverage_0to4,missing_categories,min_celltype_n,min_celltype_name,below_20cell_sensitivity_threshold,unmapped_celltypes,281模型中使用该数据集的模型数,其中FDR显著数,"H1a(TME集中,非同义重复)","H1b(肿瘤自身集中,非同义重复)"
ALL_GSE132509,急性淋巴细胞白血病,7,37936,2,Stromal_Vascular;Epithelial_mixed,1162,Tprolif,False,,1,0,0,0
AML_GSE116256,急性髓系白血病,13,38348,2,Stromal_Vascular;Epithelial_mixed,400,Tprolif,False,,9,0,0,0
BLCA_GSE130001,膀胱癌,4,4129,2,Malignant;Immune_Hematopoietic,70,Myofibroblasts,False,,12,2,1,0
CESC_GSE168652,宫颈癌,7,22998,3,Epithelial_mixed,167,Mono/Macro,False,,3,0,0,0
GSE151530,肝细胞癌,6,48318,3,Epithelial_mixed,1459,CAFs,False,,40,10,0,10
GSE167297,胃癌,9,22464,3,Malignant,318,Mast,False,,18,3,3,0
GSE176078,乳腺癌,9,100064,4,(无缺失),3206,B-cells,False,,28,9,2,6
GSE81861,结直肠癌,7,577,3,Malignant,4,MastCell,True,,30,4,2,0
Glioma_GSE131928,胶质瘤,8,13558,3,Epithelial_mixed,197,CD8Tex,False,,18,2,0,2
HNSC_GSE139324,头颈鳞癌,11,130721,1,Malignant;Stromal_Vascular;Epithelial_mixed,498,Mast,False,,3,0,0,0
KIRC_GSE159115,肾透明细胞癌,8,27669,4,(无缺失),82,Erythroblasts,False,,7,0,0,0
MB_GSE155446,髓母细胞瘤,4,37445,2,Stromal_Vascular;Epithelial_mixed,264,Neutrophils,False,,1,1,0,1
NSCLC_GSE131907,非小细胞肺癌,3,67224,1,Malignant;Stromal_Vascular;Epithelial_mixed,4174,CD8T,False,,37,7,7,0
OSCC_GSE172577,口腔鳞癌,11,57503,4,(无缺失),421,Treg,False,,5,1,0,0
OS_GSE162454,骨肉瘤,8,46544,3,Epithelial_mixed,979,Endothelial,False,,14,2,0,2
OV_GSE154600,卵巢癌,11,42583,4,(无缺失),499,Tprolif,False,,9,3,1,2
PAAD_GSE154778,胰腺癌,6,14953,4,(无缺失),148,Plasma,False,,10,0,0,0
PRAD_GSE172301,前列腺癌,9,104021,3,Malignant,339,Plasma,False,,8,2,1,0
SKCM_GSE120575,黑色素瘤,10,16291,1,Malignant;Stromal_Vascular;Epithelial_mixed,284,DC,False,,12,4,4,0
UCEC_GSE139555,子宫内膜癌,6,12758,2,Malignant;Epithelial_mixed,66,Fibroblasts,False,,14,4,4,0
UVM_GSE139829,葡萄膜黑色素瘤,8,103703,3,Epithelial_mixed,472,B,False,,2,0,0,0
