dataset,K_celltypes,total_cells,lineage_coverage_0to4,missing_categories,min_celltype_n,min_celltype_name,below_20cell_sensitivity_threshold,unmapped_celltypes
NSCLC_GSE131907,3,67224,1,Malignant;Stromal_Vascular;Epithelial_mixed,4174,CD8T,False,
SKCM_GSE120575,10,16291,1,Malignant;Stromal_Vascular;Epithelial_mixed,284,DC,False,
HNSC_GSE139324,11,130721,1,Malignant;Stromal_Vascular;Epithelial_mixed,498,Mast,False,
BLCA_GSE130001,4,4129,2,Malignant;Immune_Hematopoietic,70,Myofibroblasts,False,
MB_GSE155446,4,37445,2,Stromal_Vascular;Epithelial_mixed,264,Neutrophils,False,
UCEC_GSE139555,6,12758,2,Malignant;Epithelial_mixed,66,Fibroblasts,False,
ALL_GSE132509,7,37936,2,Stromal_Vascular;Epithelial_mixed,1162,Tprolif,False,
AML_GSE116256,13,38348,2,Stromal_Vascular;Epithelial_mixed,400,Tprolif,False,
GSE151530,6,48318,3,Epithelial_mixed,1459,CAFs,False,
GSE81861,7,577,3,Malignant,4,MastCell,True,
CESC_GSE168652,7,22998,3,Epithelial_mixed,167,Mono/Macro,False,
Glioma_GSE131928,8,13558,3,Epithelial_mixed,197,CD8Tex,False,
OS_GSE162454,8,46544,3,Epithelial_mixed,979,Endothelial,False,
UVM_GSE139829,8,103703,3,Epithelial_mixed,472,B,False,
GSE167297,9,22464,3,Malignant,318,Mast,False,
PRAD_GSE172301,9,104021,3,Malignant,339,Plasma,False,
PAAD_GSE154778,6,14953,4,(无缺失),148,Plasma,False,
KIRC_GSE159115,8,27669,4,(无缺失),82,Erythroblasts,False,
GSE176078,9,100064,4,(无缺失),3206,B-cells,False,
OSCC_GSE172577,11,57503,4,(无缺失),421,Treg,False,
OV_GSE154600,11,42583,4,(无缺失),499,Tprolif,False,
