pmcid,pmid,theme,gene,coefficient,candidate_score,source,caption_or_file
PMC10184413,37189176,cuproptosis-related ferroptosis,TRIB3,0.143,17,xml_table_wrap,Gene list and coefficient
PMC10184413,37189176,cuproptosis-related ferroptosis,SLC2A3,0.0296,17,xml_table_wrap,Gene list and coefficient
PMC10184413,37189176,cuproptosis-related ferroptosis,PML,0.3216,17,xml_table_wrap,Gene list and coefficient
PMC10184413,37189176,cuproptosis-related ferroptosis,CD44,0.1135,17,xml_table_wrap,Gene list and coefficient
PMC10184413,37189176,cuproptosis-related ferroptosis,CDKN2A,0.2139,17,xml_table_wrap,Gene list and coefficient
PMC10184413,37189176,cuproptosis-related ferroptosis,MIOX,-0.0496,17,xml_table_wrap,Gene list and coefficient
PMC10469729,37387559,glutamine metabolism,PHGDH,0.011239,7,xml_table_wrap,The multivariate regression coefficients of each gene.
PMC10469729,37387559,glutamine metabolism,OTC,0.684812,7,xml_table_wrap,The multivariate regression coefficients of each gene.
PMC10469729,37387559,glutamine metabolism,ASRGL1,−0.00972,7,xml_table_wrap,The multivariate regression coefficients of each gene.
PMC10469729,37387559,glutamine metabolism,ASNS,0.029223,7,xml_table_wrap,The multivariate regression coefficients of each gene.
PMC10469729,37387559,glutamine metabolism,NR1H4,0.240358,7,xml_table_wrap,The multivariate regression coefficients of each gene.
PMC10475834,37670938,cuproptosis-related ferroptosis,TSPOAP1-AS1,−0.003636899,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10475834,37670938,cuproptosis-related ferroptosis,AC107464.3,−0.001626257,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10475834,37670938,cuproptosis-related ferroptosis,AC006449.7,−0.00125717,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10475834,37670938,cuproptosis-related ferroptosis,LINC00324,−0.000923428,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10475834,37670938,cuproptosis-related ferroptosis,COLCA1,−4.91E-05,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10475834,37670938,cuproptosis-related ferroptosis,HAGLR,−4.93E-06,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10475834,37670938,cuproptosis-related ferroptosis,MIR4435-2HG,0.000156045,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10475834,37670938,cuproptosis-related ferroptosis,NKILA,0.000863014,2,xml_table_wrap,Prognostic lncRNAs obtained from the LASSO Cox regression model and their primer sequences.
PMC10564413,37768206,cellular senescence,PTTG1,-0.0096767,14,xml_table_wrap,Six senescence associated genes and corresponding coefficient value.
PMC10564413,37768206,cellular senescence,E2F1,-0.0253643,14,xml_table_wrap,Six senescence associated genes and corresponding coefficient value.
PMC10564413,37768206,cellular senescence,CBX7,-0.0543229,14,xml_table_wrap,Six senescence associated genes and corresponding coefficient value.
PMC10564413,37768206,cellular senescence,SPOP,-0.1751312,14,xml_table_wrap,Six senescence associated genes and corresponding coefficient value.
PMC10564413,37768206,cellular senescence,RPS6KA6,0.09447039,14,xml_table_wrap,Six senescence associated genes and corresponding coefficient value.
PMC10564413,37768206,cellular senescence,ABI3,-0.0704937,14,xml_table_wrap,Six senescence associated genes and corresponding coefficient value.
PMC10666655,38021786,exosome,AC026355.2,-0.216625,8,xml_table_wrap,"The regression coefficient of seven exosome-related lncRNAs.  lncRNAs, long non-coding RNAs; HR, hazard ratio"
PMC10666655,38021786,exosome,AL691432.2,-0.226021,8,xml_table_wrap,"The regression coefficient of seven exosome-related lncRNAs.  lncRNAs, long non-coding RNAs; HR, hazard ratio"
PMC10666655,38021786,exosome,LINC00941,0.141132,8,xml_table_wrap,"The regression coefficient of seven exosome-related lncRNAs.  lncRNAs, long non-coding RNAs; HR, hazard ratio"
PMC10666655,38021786,exosome,AC108136.1,0.432776,8,xml_table_wrap,"The regression coefficient of seven exosome-related lncRNAs.  lncRNAs, long non-coding RNAs; HR, hazard ratio"
PMC10666655,38021786,exosome,AL590428.1,0.7578,8,xml_table_wrap,"The regression coefficient of seven exosome-related lncRNAs.  lncRNAs, long non-coding RNAs; HR, hazard ratio"
PMC10666655,38021786,exosome,MMP2-AS1,-0.206168,8,xml_table_wrap,"The regression coefficient of seven exosome-related lncRNAs.  lncRNAs, long non-coding RNAs; HR, hazard ratio"
PMC10666655,38021786,exosome,LINC01312,0.537094,8,xml_table_wrap,"The regression coefficient of seven exosome-related lncRNAs.  lncRNAs, long non-coding RNAs; HR, hazard ratio"
PMC10829884,38299031,N6-methyladenosine,ALKBH5,0.5709795,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,YTHDC2,-0.4155154,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,LRRC17,0.02327,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,NFKB1,0.817,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,NOS2,0.07971,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,PCDHB2,0.1193,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,RAB7A,0.006866,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,RPS6KA1,0.07122,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,RRNAD1,-0.0897,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,TLE6,0.3128,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,UBE2H,-0.06165,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CD36,0.64973,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ITGA3,0.50566,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,FLT3,-1.06119,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CR2,0.43809,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,IL7,-0.24174,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CD2,-0.4341,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CD55,-0.03472,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,IKBKB,0.7211,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,TRADD,0.058,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CYCS,-0.1209,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,NFKB1,-0.2872,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CTSD,0.08810216,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ULK3,0.06755919,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CDKN2A,0.08355253,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,NRG1,-0.11920988,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ATG4B,0.0707156,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ULK1,0.01917531,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,DAPK1,0.12813474,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,SERPINA1,-0.15361284,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,DAPK1,0.089824,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CAPN2,0.041346,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,RAF1,0.118416,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,MYC,-0.13661,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,BIRC5,-0.13171,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,PRKAB1,-0.06286,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,BCL2,0.25849,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CASP3,-0.17743,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CASP1,-0.05293,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,BAG3,0.006582,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ULK3,0.196998,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,MTMR,-0.17958,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,DAPK2,-0.00886,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,BID,-0.14231,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,HDAC1,-0.02745,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ATG16L1,0.084456412,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ATG2A,-0.119470663,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ATG9B,0.129876699,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,BCL2L1,0.143252795,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CAPN2,0.111812525,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CASP8,-0.045608724,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CTSB,0.207874352,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,DLC1,0.055049616,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,EIF2S1,-0.010879515,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,FKBP1B,0.081391916,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,GABARAPL1,0.099010182,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,GABARAPL2,0.053491449,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,HDAC6,0.511300688,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ITGA3,0.122531637,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ITGB1,0.768867771,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,MAP1LC3B,0.036931901,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,MYC,-0.032787631,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,NKX2-3,0.01020358,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,RPS6KB1,-0.066357018,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,SESN2,0.329860155,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,TNFSF10,-0.142061768,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,TSC2,0.051108573,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ULK3,0.114702746,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,TAGLN,0.01942066,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,TNS1,0.007341004,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,SFRP4,0.03543974,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CX3CL1,0.01600218,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ULK3,0.03438969,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,CDKN2A,0.06438785,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,NRG1,-0.1391895,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,ATG4B,0.05534852,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,GAA,0.05028759,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,RGS19,0.0141957,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,DDIT3,0.00395248,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,GRID1,0.06085908,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,DAPK1,0.06678703,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,SERPINA1,-0.0810936,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,SQSTM1,0.441279,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
PMC10829884,38299031,N6-methyladenosine,NRG3,0.601246,9,xml_supp,"Table S2. Summary of CRC prognostic models, related to Figures 2F and 2G"
