gene,wilcoxon_top_celltype,gold_top_celltype,match_vs_gold,dataset,zscore_top_celltype,wilcoxon_vs_zscore_match,wilcoxon_cat,zscore_cat,cat_match
ADAM8,Macrophage,Macrophage,True,GSE81861,Macrophage,True,Immune_Hematopoietic,Immune_Hematopoietic,True
APP,Epithelial,MastCell,False,GSE81861,MastCell,False,Epithelial_mixed,Immune_Hematopoietic,False
ARMCX2,Macrophage,Macrophage,True,GSE81861,Macrophage,True,Immune_Hematopoietic,Immune_Hematopoietic,True
BIRC5,Epithelial,Tcell,False,GSE81861,Tcell,False,Epithelial_mixed,Immune_Hematopoietic,False
CALB2,MastCell,MastCell,True,GSE81861,MastCell,True,Immune_Hematopoietic,Immune_Hematopoietic,True
CCL11,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
CCL24,Epithelial,Epithelial,True,GSE81861,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
CD36,Endothelial,Endothelial,True,GSE81861,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
COL3A1,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
CXCL10,Macrophage,Macrophage,True,GSE81861,Macrophage,True,Immune_Hematopoietic,Immune_Hematopoietic,True
CXCL11,Macrophage,Macrophage,True,GSE81861,Macrophage,True,Immune_Hematopoietic,Immune_Hematopoietic,True
CXCL12,Fibroblast,Endothelial,False,GSE81861,Endothelial,False,Stromal_Vascular,Stromal_Vascular,True
CXCL13,Tcell,Tcell,True,GSE81861,Tcell,True,Immune_Hematopoietic,Immune_Hematopoietic,True
CYP1B1,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
FABP4,Endothelial,Endothelial,True,GSE81861,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
FSTL3,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
GABRE,Epithelial,Epithelial,True,GSE81861,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
HOXC6,Epithelial,Epithelial,True,GSE81861,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
HSPA1A,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
ITLN1,Epithelial,Endothelial,False,GSE81861,Endothelial,False,Epithelial_mixed,Stromal_Vascular,False
KDR,Endothelial,Endothelial,True,GSE81861,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
KIF13B,Epithelial,Epithelial,True,GSE81861,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
KLK10,Epithelial,Epithelial,True,GSE81861,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
LEF1,Endothelial,Endothelial,True,GSE81861,Endothelial,True,Stromal_Vascular,Stromal_Vascular,True
LTBP1,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
MEIS2,Fibroblast,MastCell,False,GSE81861,MastCell,False,Stromal_Vascular,Immune_Hematopoietic,False
MMP1,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
MMP11,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
MMP12,Macrophage,Macrophage,True,GSE81861,Macrophage,True,Immune_Hematopoietic,Immune_Hematopoietic,True
MMP14,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
MMP3,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
PCSK5,Epithelial,Fibroblast,False,GSE81861,Fibroblast,False,Epithelial_mixed,Stromal_Vascular,False
S100A4,Tcell,MastCell,False,GSE81861,MastCell,False,Immune_Hematopoietic,Immune_Hematopoietic,True
SCG2,Epithelial,Epithelial,True,GSE81861,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
SLC2A3,Macrophage,Endothelial,False,GSE81861,Endothelial,False,Immune_Hematopoietic,Stromal_Vascular,False
SPINK1,Epithelial,Epithelial,True,GSE81861,Epithelial,True,Epithelial_mixed,Epithelial_mixed,True
SPP1,Macrophage,Macrophage,True,GSE81861,Macrophage,True,Immune_Hematopoietic,Immune_Hematopoietic,True
STC1,MastCell,Macrophage,False,GSE81861,Macrophage,False,Immune_Hematopoietic,Immune_Hematopoietic,True
TIMP1,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
VCAN,Fibroblast,Fibroblast,True,GSE81861,Fibroblast,True,Stromal_Vascular,Stromal_Vascular,True
VEGFA,Epithelial,Endothelial,False,GSE81861,Endothelial,False,Epithelial_mixed,Stromal_Vascular,False
VSIG4,Macrophage,Macrophage,True,GSE81861,Macrophage,True,Immune_Hematopoietic,Immune_Hematopoietic,True
ZNF532,Fibroblast,Endothelial,False,GSE81861,Endothelial,False,Stromal_Vascular,Stromal_Vascular,True
ADAM8,Macro,Macro,True,GSE178341,Macro,True,Immune_Hematopoietic,Immune_Hematopoietic,True
APP,Epi,Endo,False,GSE178341,Endo,False,Epithelial_mixed,Stromal_Vascular,False
ARMCX2,Fibro,Fibro,True,GSE178341,Fibro,True,Stromal_Vascular,Stromal_Vascular,True
BIRC5,Epi,TZBTB16,False,GSE178341,TZBTB16,False,Epithelial_mixed,Immune_Hematopoietic,False
