model,gene,top_celltype
PMC10022822,PEA15,DC
PMC10022822,HSPB8,Fibroblasts
PMC10022822,BNIP3,Mono/Macro
PMC10022822,GABARAPL1,CD8T
PMC10911888,MATN3,Fibroblasts
PMC10911888,SERPINE1,Endothelial
PMC10911888,P3H2,DC
PMC10911888,MMP16,Fibroblasts
PMC10911888,VTN,Epithelial
PMC12399450,ATP8A2,Endothelial
PMC12399450,TARS2,Epithelial
PMC12399450,COX15,Fibroblasts
PMC9922719,RMRP,Epithelial
PMC9676246,AL590705.3,Fibroblasts
PMC9676246,RHOXF1-AS1,Fibroblasts
PMC9676246,AC005165.1,Fibroblasts
PMC9676246,AC110995.1,DC
PMC9676246,AL355574.1,Plasma
PMC10522364,CYTL1,Endothelial
PMC10522364,LDB2,Endothelial
PMC10522364,PLCL1,DC
PMC10522364,SDC2,Mono/Macro
PMC10522364,FAAH,Epithelial
PMC10522364,PRICKLE1,Fibroblasts
PMC10522364,PDGFRL,Fibroblasts
PMC10522364,PDE1B,Fibroblasts
PMC10522364,CD36,DC
PMC10522364,GJA1,Endothelial
PMC10522364,SNCG,Endothelial
PMC10522364,APOD,Fibroblasts
PMC10522364,RGS2,Mast
PMC10522364,GAMT,Fibroblasts
PMC10522364,GPX3,Fibroblasts
PMC10522364,GUCY1A2,Fibroblasts
PMC10522364,MATN3,Fibroblasts
PMC10522364,NRP1,Endothelial
PMC10522364,SLC7A2,Fibroblasts
PMC10522364,THSD7A,Endothelial
PMC10522364,SERPINE1,Endothelial
PMC10522364,VCAN,Mono/Macro
PMC9229147,COL3A1,Fibroblasts
PMC9229147,FN1,Fibroblasts
PMC9229147,COL1A2,Fibroblasts
PMC9229147,COL1A1,Fibroblasts
PMC9229147,COL5A1,Fibroblasts
PMC9229147,SPARC,Fibroblasts
PMC9248105,AL133346.1,Endothelial
PMC9248105,AC026691.1,Fibroblasts
PMC9248105,AC090825.1,B
PMC10043308,BTG1,B-cells
PMC10043308,CCT6A,Cancer Epithelial
PMC10043308,KRT14,Normal Epithelial
PMC10043308,P4HA2,CAFs
PMC10043308,PGK1,Cancer Epithelial
PMC10043308,SLC16A2,CAFs
PMC10043308,STC2,Normal Epithelial
PMC10043308,TF,Normal Epithelial
PMC10043308,TPD52,Cancer Epithelial
PMC10043308,CISD1,CAFs
PMC11315143,ERG,Endothelial
PMC11315143,IVL,Cancer Epithelial
PMC11315143,ALDOA,Cancer Epithelial
PMC11315143,ADCY6,PVL
PMC11315143,CFI,Endothelial
PMC11315143,KLF10,Normal Epithelial
PMC11315143,ITPKA,Cancer Epithelial
PMC11315143,NRP1,Endothelial
PMC11315143,CSF3,Endothelial
PMC11315143,SLC12A5,Myeloid
PMC11315143,FADS2,Cancer Epithelial
PMC11315143,SRC,Myeloid
PMC11315143,GLDC,T-cells
PMC11315143,NDRG2,Normal Epithelial
PMC11315143,DMD,PVL
PMC11458410,DCTPP1,Cancer Epithelial
PMC11458410,FEZ1,PVL
PMC11458410,KMO,Myeloid
PMC11458410,NME3,Cancer Epithelial
PMC11458410,CCR7,B-cells
PMC11458410,ISOC2,Cancer Epithelial
PMC11458410,STAR,Cancer Epithelial
PMC11458410,COMTD1,Cancer Epithelial
PMC11458410,ESR2,B-cells
PMC11537572,PIK3C2A,Endothelial
PMC11537572,ZBTB11,Cancer Epithelial
PMC11537572,AFF4,Normal Epithelial
PMC11537572,ATRX,Endothelial
PMC11537572,HECTD1,Endothelial
PMC11537572,CREB1,Endothelial
PMC11537572,CCNT1,Endothelial
PMC11537572,CLOCK,Endothelial
PMC11537572,APC,Endothelial
PMC11537572,USP37,Myeloid
PMC11537572,GCC2,Normal Epithelial
PMC11537572,DENND4C,Endothelial
PMC11537572,PREPL,Cancer Epithelial
PMC11537572,KIAA1109,Endothelial
PMC11537572,SRFBP1,Normal Epithelial
PMC11537572,SMARCAD1,Endothelial
PMC11537572,WDFY3,Myeloid
PMC11537572,TMEM184C,Normal Epithelial
PMC11537572,NEMF,Endothelial
PMC11537572,USP47,Normal Epithelial
PMC11537572,LTN1,Endothelial
PMC11880812,ADPGK,Myeloid
PMC11880812,HNRNPA1,T-cells
PMC11880812,PGAM1,Cancer Epithelial
PMC11880812,PIM2,Plasmablasts
PMC11880812,YWHAZ,T-cells
PMC11880812,PTK2,PVL
PMC11880812,VDAC1,Cancer Epithelial
PMC11880812,CS,Cancer Epithelial
PMC11880812,PGK1,Cancer Epithelial
PMC11880812,GAPDHS,Myeloid
PMC12589231,MTHFD2,PVL
PMC12589231,TFRC,Myeloid
PMC12589231,JUN,PVL
PMC12589231,IRF7,Myeloid
PMC12589231,PPP1R15A,Normal Epithelial
PMC12589231,GZMB,T-cells
PMC12589231,BCL2A1,Myeloid
PMC12730545,SDC1,Plasmablasts
PMC12730545,SAA1,Normal Epithelial
PMC12730545,TDGF1,Endothelial
PMC12730545,BACH2,B-cells
PMC12730545,IL18,Myeloid
PMC12730545,CMTM5,PVL
PMC12730545,ADRB1,Cancer Epithelial
PMC12730545,BCL3,Normal Epithelial
PMC12730545,CCR7,B-cells
PMC12730545,CXCL9,Myeloid
PMC12730545,PTGER3,CAFs
PMC12730545,TRDV1,T-cells
PMC12730545,PSME2,Myeloid
PMC13437700,ABCA1,Myeloid
PMC13437700,IL1R1,Endothelial
PMC13437700,SERPINE1,CAFs
PMC13437700,HPN,Cancer Epithelial
PMC9641162,NT5E,CAFs
PMC9641162,ATG5,Cancer Epithelial
PMC9641162,PIK3CA,Endothelial
PMC9641162,IL1R1,Endothelial
PMC9641162,IL1B,Myeloid
PMC9641162,HSP90AA1,T-cells
PMC9641162,EIF2AK3,Plasmablasts
PMC9641162,MYD88,Myeloid
PMC9641162,IL10,Myeloid
PMC9641162,CD8A,T-cells
PMC9641162,IFNG,T-cells
PMC11349728,ACSF2,Normal Epithelial
PMC11349728,CHKA,Normal Epithelial
PMC11349728,CYP46A1,Endothelial
PMC11349728,DBI,Cancer Epithelial
PMC11349728,ENPP7,Plasmablasts
PMC11349728,SUMO2,Cancer Epithelial
PMC7821871,PGK1,Cancer Epithelial
PMC7821871,SDC1,Plasmablasts
PMC7821871,NUP43,Normal Epithelial
PMC7821871,NT5E,CAFs
PMC7821871,IL13RA1,Myeloid
PMC7821871,GCLC,Myeloid
PMC7821871,CACNA1H,PVL
PMC7821871,P4HA1,CAFs
PMC7821871,TSTA3,Cancer Epithelial
PMC7821871,MXI1,Normal Epithelial
PMC7821871,STC1,Endothelial
PMC10709318,BRD4,Endothelial
PMC10709318,RPS24,Normal Epithelial
PMC10709318,SERPINA3,Normal Epithelial
PMC10709318,SKP1,Normal Epithelial
PMC10709318,NTRK3,PVL
PMC10709318,CD79A,B-cells
PMC10709318,JAK1,Endothelial
PMC10709318,NT5E,CAFs
PMC10709318,NDRG1,Endothelial
PMC10709318,CD24,Cancer Epithelial
PMC9035888,EIF4EBP1,Cancer Epithelial
PMC9035888,IFNG,T-cells
PMC9035888,TP63,Normal Epithelial
PMC12246268,FANCI,Cancer Epithelial
PMC12246268,CHD4,Cancer Epithelial
PMC12246268,RPN1,Cancer Epithelial
PMC12246268,PRC1,Cancer Epithelial
