model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC10022822,GSE167297,4,9,DC,1,0.25,0.369,0.3757049230300259,Immune_Hematopoietic,False,0.38920330349817056,False,True
PMC10043308,GSE176078,10,9,Cancer Epithelial,3,0.3,0.402,0.09059653269912626,Malignant,False,0.20093846355062622,False,False
PMC10056698,PRAD_GSE172301,5,9,SMC,1,0.2,0.268,0.4450710426933563,Stromal_Vascular,False,0.4529252375644155,False,True
PMC10125743,NSCLC_GSE131907,3,3,CD8T,2,0.667,0.421,0.2592592592592592,Immune_Hematopoietic,False,0.32096474953617815,False,True
PMC10290322,Glioma_GSE131928,34,8,MES-like Malignant,15,0.441,0.195,5.003528889017496e-06,Malignant,False,0.00017312209956000537,True,False
PMC10522364,GSE167297,22,9,Fibroblasts,9,0.409,0.341,0.00032974487986447265,Stromal_Vascular,False,0.004471823553880553,True,False
PMC10599730,OSCC_GSE172577,3,11,Endothelial,2,0.667,0.735,0.02329075882794891,Stromal_Vascular,False,0.09157502902807184,False,True
PMC10616163,GSE151530,6,6,Malignant cells,2,0.333,0.258,0.26322445130315497,Malignant,False,0.32096474953617815,False,False
PMC10620278,PAAD_GSE154778,8,6,Mono/Macro,4,0.5,0.226,0.03065641194177717,Immune_Hematopoietic,False,0.10399135815544021,False,False
PMC10662873,GSE151530,5,6,Malignant cells,3,0.6,0.47,0.035493827160493825,Malignant,False,0.10772687892570933,False,True
PMC10663558,GSE151530,4,6,CAFs,2,0.5,0.42,0.13194444444444442,Stromal_Vascular,False,0.21909677510628506,False,True
PMC10666655,NSCLC_GSE131907,1,3,CD4Tconv,1,1.0,1.0,0.3333333333333333,Immune_Hematopoietic,False,0.36041666666666666,False,True
PMC10683585,SKCM_GSE120575,4,10,Treg,1,0.25,0.398,0.34390000000000004,Immune_Hematopoietic,False,0.36953229813664595,False,True
PMC10709318,GSE176078,10,9,Endothelial,3,0.3,0.252,0.09059653269912626,Stromal_Vascular,False,0.20093846355062622,False,False
PMC10721979,PAAD_GSE154778,11,6,Plasma,3,0.273,0.137,0.27322487699569437,Immune_Hematopoietic,False,0.3259855428983112,False,False
PMC10829884,GSE81861,9,7,Epithelial,4,0.444,0.267,0.028809494031103593,Epithelial_mixed,False,0.10383421807043586,False,False
PMC10851502,GSE151530,1,6,Malignant cells,1,1.0,1.0,0.16666666666666666,Malignant,False,0.2507246376811594,False,True
PMC10861726,HNSC_GSE139324,4,11,Mono/Macro,2,0.5,0.566,0.04378116248890103,Immune_Hematopoietic,False,0.12216356629967547,False,True
PMC10873882,PAAD_GSE154778,4,6,Epithelial,2,0.5,0.42,0.13194444444444442,Epithelial_mixed,False,0.21909677510628506,False,True
PMC10909728,GSE81861,8,7,Macrophage,2,0.25,0.199,0.3201666458217726,Immune_Hematopoietic,False,0.3527950938036093,False,False
PMC10911888,GSE167297,5,9,Fibroblasts,2,0.4,0.394,0.0982404443767041,Stromal_Vascular,False,0.2098221836687631,False,True
PMC10933109,AML_GSE116256,2,13,Tprolif,1,0.5,0.73,0.14792899408284027,Immune_Hematopoietic,False,0.23265196342119424,False,True
PMC10981052,NSCLC_GSE131907,12,3,CD8T,5,0.417,0.064,0.36847928556509574,Immune_Hematopoietic,False,0.38920330349817056,False,False
PMC10985269,PRAD_GSE172301,4,9,Epithelial,1,0.25,0.369,0.3757049230300259,Epithelial_mixed,False,0.38920330349817056,False,True
PMC10986118,GSE176078,9,9,Cancer Epithelial,6,0.667,0.544,0.00011714661792190339,Malignant,False,0.0018423968091353896,True,False
PMC11025768,GSE151530,4,6,Malignant cells,2,0.5,0.42,0.13194444444444442,Malignant,False,0.21909677510628506,False,True
PMC11031923,PRAD_GSE172301,2,9,Epithelial,2,1.0,1.0,0.012345679012345678,Epithelial_mixed,False,0.06281771968046478,False,True
PMC11057184,GSE81861,2,7,Epithelial,1,0.5,0.644,0.2653061224489796,Epithelial_mixed,False,0.32096474953617815,False,True
PMC11102376,NSCLC_GSE131907,13,3,CD8T,10,0.769,0.508,0.0016477213212128278,Immune_Hematopoietic,False,0.012957081298628145,True,False
PMC11134425,NSCLC_GSE131907,9,3,CD8T,6,0.667,0.227,0.04242239496011786,Immune_Hematopoietic,False,0.12105361364151844,False,False
PMC11137026,NSCLC_GSE131907,6,3,B,3,0.5,0.079,0.31961591220850477,Immune_Hematopoietic,False,0.3527950938036093,False,False
PMC11153201,AML_GSE116256,8,13,EryPro,3,0.375,0.485,0.01898544286895872,Immune_Hematopoietic,False,0.0801093077153624,False,False
PMC11164498,Glioma_GSE131928,4,8,AC-like Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.17950439453125,False,True
PMC11197043,SKCM_GSE120575,21,10,Mono/Macro,7,0.333,0.131,0.003272793884520406,Immune_Hematopoietic,False,0.02065880364491475,True,False
PMC11261139,GSE81861,2,7,Endothelial,1,0.5,0.644,0.2653061224489796,Stromal_Vascular,False,0.32096474953617815,False,True
PMC11302292,BLCA_GSE130001,3,4,Epithelial,1,0.333,0.208,0.578125,Epithelial_mixed,False,0.578125,False,True
PMC11315143,GSE176078,15,9,Endothelial,4,0.267,0.23,0.07646924763568375,Stromal_Vascular,False,0.17950439453125,False,False
PMC11319968,OS_GSE162454,4,8,Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.17950439453125,False,True
PMC11331578,GSE81861,9,7,Epithelial,3,0.333,0.326,0.12592854462799327,Epithelial_mixed,False,0.21909677510628506,False,False
PMC11336873,NSCLC_GSE131907,2,3,B,1,0.5,0.369,0.5555555555555556,Immune_Hematopoietic,False,0.5587855297157623,False,True
PMC11349728,GSE176078,6,9,Normal Epithelial,2,0.333,0.395,0.13677717752299876,Epithelial_mixed,False,0.21909677510628506,False,False
PMC11417173,GSE151530,6,6,Malignant cells,4,0.667,0.516,0.008701989026063098,Malignant,False,0.049947117969002225,True,False
PMC11427372,OV_GSE154600,2,11,Fibroblasts,1,0.5,0.711,0.17355371900826444,Stromal_Vascular,False,0.2566221657130748,False,True
PMC11458410,GSE176078,9,9,Cancer Epithelial,5,0.556,0.477,0.0014492806032259168,Malignant,False,0.012536277217904181,True,False
PMC11496652,NSCLC_GSE131907,20,3,CD8T,9,0.45,0.029,0.19054887156471484,Immune_Hematopoietic,False,0.277016426728535,False,False
PMC11521951,OV_GSE154600,11,11,Malignant,4,0.364,0.315,0.013359672959880121,Malignant,False,0.06603495491597888,False,False
PMC11537572,GSE176078,21,9,Endothelial,12,0.571,0.495,3.94112453778807e-07,Stromal_Vascular,False,4.124641418457031e-05,True,False
PMC11557307,Glioma_GSE131928,3,8,AC-like Malignant,1,0.333,0.472,0.330078125,Malignant,False,0.3591416077044025,False,True
PMC11586327,BLCA_GSE130001,6,4,Endothelial,2,0.333,0.041,0.466064453125,Stromal_Vascular,False,0.4715154993603802,False,False
PMC11606104,UCEC_GSE139555,6,6,Fibroblasts,6,1.0,1.0,2.1433470507544573e-05,Stromal_Vascular,False,0.00042054923536961045,True,False
