model,gene,top_celltype,zscore
PMC12906242_m6A_OS,CASP8AP2,Fibroblasts,1.83
PMC12906242_m6A_OS,DNMT1,Fibroblasts,0.88
PMC12906242_m6A_OS,GTF2F1,CD8Tex,1.47
PMC12906242_m6A_OS,KCNK7,Mono/Macro,1.94
PMC12906242_m6A_OS,KRT14,Fibroblasts,2.36
PMC12906242_m6A_OS,LATS1,Endothelial,1.89
PMC12906242_m6A_OS,MCAM,Endothelial,2.43
PMC12906242_m6A_OS,NAV2,Osteoblasts,1.65
PMC12906242_m6A_OS,NIN,Endothelial,1.45
PMC12906242_m6A_OS,NNT,Osteoblasts,2.28
PMC12906242_m6A_OS,NR4A3,Mono/Macro,2.41
PMC12906242_m6A_OS,PPOX,Malignant,1.99
PMC12906242_m6A_OS,SLC7A1,Osteoblasts,1.75
PMC12906242_m6A_OS,TRAP1,Osteoblasts,2.31
PMC10475834_cuproptosis_lncRNA_LUAD,LINC00324,B,0.82
PMC10475834_cuproptosis_lncRNA_LUAD,COLCA1,B,1.09
PMC10475834_cuproptosis_lncRNA_LUAD,HAGLR,CD8T,1.15
PMC10475834_cuproptosis_lncRNA_LUAD,MIR4435-2HG,CD8T,1.08
PMC10475834_cuproptosis_lncRNA_LUAD,NKILA,CD4Tconv,0.91
