model,gene,top_celltype,zscore
PMC7880321_immune_BLCA,AHNAK,Epithelial,1.409999966621399
PMC7880321_immune_BLCA,CALR,Fibroblasts,1.2999999523162842
PMC7880321_immune_BLCA,PLA2G2A,Fibroblasts,1.5
PMC7880321_immune_BLCA,OAS1,Epithelial,1.4900000095367432
PMC7880321_immune_BLCA,CDH1,Epithelial,1.5
PMC7880321_immune_BLCA,PDGFRA,Fibroblasts,1.5
PMC7880321_immune_BLCA,SEMA3F,Endothelial,1.5
PMC7880321_immune_BLCA,RAC3,Fibroblasts,1.190000057220459
PMC7880321_immune_BLCA,IRF5,Epithelial,1.5
PMC7880321_immune_BLCA,CARD11,Epithelial,1.5
PMC12891303_CAF_BLCA,SERPINF1,Fibroblasts,1.399999976158142
PMC12891303_CAF_BLCA,DDR2,Fibroblasts,0.9700000286102295
PMC12891303_CAF_BLCA,SLIT2,Fibroblasts,1.3799999952316284
PMC12891303_CAF_BLCA,HSPG2,Endothelial,1.4600000381469727
PMC12891303_CAF_BLCA,ECM1,Fibroblasts,1.0099999904632568
PMC12891303_CAF_BLCA,RECK,Fibroblasts,1.4500000476837158
PMC11634757_lactylation_STAD,COL4A1,Endothelial,2.2300000190734863
PMC11634757_lactylation_STAD,SLC16A7,Endothelial,1.6200000047683716
PMC11634757_lactylation_STAD,IRAK1,Mono/Macro,2.190000057220459
PMC9578220_chromatin_immune_UCEC,BTNL9,CD8Tex,1.7799999713897705
PMC9578220_chromatin_immune_UCEC,CD40LG,CD4Tconv,2.0299999713897705
PMC9578220_chromatin_immune_UCEC,CD47,Fibroblasts,1.590000033378601
PMC9578220_chromatin_immune_UCEC,HLA-DMB,Fibroblasts,1.2599999904632568
PMC9578220_chromatin_immune_UCEC,HLA-DRB5,Tprolif,1.7899999618530273
PMC9578220_chromatin_immune_UCEC,HLA-G,CD8Tex,1.2999999523162842
PMC9578220_chromatin_immune_UCEC,TNFRSF14,Treg,1.4299999475479126
PMC9578220_chromatin_immune_UCEC,TNFRSF18,Treg,1.940000057220459
PMC9578220_chromatin_immune_UCEC,TNFRSF4,Treg,2.0
PMC12891315_CAF_UCEC,ANLN,Tprolif,1.7100000381469727
PMC12891315_CAF_UCEC,ASPM,Tprolif,2.0399999618530273
PMC12891315_CAF_UCEC,CENPI,Tprolif,1.9800000190734863
PMC12891315_CAF_UCEC,CKAP2L,Tprolif,2.0299999713897705
PMC12891315_CAF_UCEC,DNA2,Tprolif,1.7699999809265137
PMC12891315_CAF_UCEC,KIF14,Tprolif,2.009999990463257
PMC12891315_CAF_UCEC,LTB,Treg,1.649999976158142
PMC12891315_CAF_UCEC,POLQ,Tprolif,2.0399999618530273
PMC12891315_CAF_UCEC,TTK,Tprolif,2.0299999713897705
PMC12891315_CAF_UCEC,CDK16,Fibroblasts,1.940000057220459
PMC12891315_CAF_UCEC,CIT,Tprolif,1.7699999809265137
PMC12891315_CAF_UCEC,SERPING1,Fibroblasts,2.0399999618530273
PMC9614380_aminoacid_KIRC,ACADSB,Epithelial,2.3299999237060547
PMC9614380_aminoacid_KIRC,BCKDHB,Epithelial,2.2799999713897705
PMC9614380_aminoacid_KIRC,CBS,Malignant,1.9500000476837158
PMC9614380_aminoacid_KIRC,CSAD,Malignant,1.340000033378601
PMC9614380_aminoacid_KIRC,HAO1,Erythroblasts,1.909999966621399
PMC9614380_aminoacid_KIRC,HIBCH,Epithelial,2.0899999141693115
PMC9614380_aminoacid_KIRC,HOGA1,Epithelial,2.359999895095825
PMC9614380_aminoacid_KIRC,IL4I1,Mono/Macro,2.2799999713897705
PMC9614380_aminoacid_KIRC,IYD,Epithelial,2.4700000286102295
PMC9614380_aminoacid_KIRC,NNMT,Malignant,2.2699999809265137
PMC9614380_aminoacid_KIRC,PSAT1,Epithelial,2.3299999237060547
PMC9614380_aminoacid_KIRC,PYCR1,Erythroblasts,1.75
PMC9614380_aminoacid_KIRC,RIMKLA,Malignant,2.430000066757202
PMC9614380_aminoacid_KIRC,RPL13,CD8T,1.8200000524520874
PMC9614380_aminoacid_KIRC,RPL22L1,Plasma,1.2100000381469727
PMC9614380_aminoacid_KIRC,RPL36A,CD8T,2.0
PMC9614380_aminoacid_KIRC,SLC5A5,Mono/Macro,1.5700000524520874
PMC11310873_lncRNA_LUAD,LINC01352,B,0.8999999761581421
PMC11310873_lncRNA_LUAD,LINC00968,B,1.1200000047683716
PMC10724919_ICD_lncRNA_LUSC,MIR22HG,CD8T,1.1399999856948853
PMC9843944_autophagy_LUAD,APOL1,CD8T,1.1200000047683716
PMC9843944_autophagy_LUAD,ARSA,CD8T,0.7699999809265137
PMC9843944_autophagy_LUAD,ATG10,CD4Tconv,0.9599999785423279
PMC9843944_autophagy_LUAD,ATG12,CD8T,0.6600000262260437
PMC9843944_autophagy_LUAD,ATG4A,CD8T,1.149999976158142
PMC9843944_autophagy_LUAD,BCL2L1,CD8T,1.1200000047683716
PMC9843944_autophagy_LUAD,BNIP3L,B,1.149999976158142
PMC9843944_autophagy_LUAD,CAPNS1,CD8T,1.1399999856948853
PMC9843944_autophagy_LUAD,CX3CL1,CD8T,0.9599999785423279
PMC9843944_autophagy_LUAD,DAPK2,CD8T,1.149999976158142
PMC9843944_autophagy_LUAD,EEF2K,CD8T,1.149999976158142
PMC9843944_autophagy_LUAD,EIF2S1,CD8T,1.1200000047683716
PMC9843944_autophagy_LUAD,EIF4G1,CD8T,1.149999976158142
PMC9843944_autophagy_LUAD,GNAI3,CD8T,1.1299999952316284
PMC9843944_autophagy_LUAD,KLHL24,B,1.1299999952316284
PMC9843944_autophagy_LUAD,MAPK8IP1,B,1.100000023841858
PMC9843944_autophagy_LUAD,MBTPS2,B,0.9300000071525574
PMC9843944_autophagy_LUAD,NLRC4,B,1.100000023841858
PMC9843944_autophagy_LUAD,PRKCD,B,1.1200000047683716
PMC9843944_autophagy_LUAD,RELA,CD8T,0.9200000166893005
PMC9843944_autophagy_LUAD,SIRT2,CD8T,1.149999976158142
PMC9843944_autophagy_LUAD,SPHK1,CD8T,1.149999976158142
PMC9843944_autophagy_LUAD,ST13,B,0.8899999856948853
PMC8379743_m6A_LUAD,CLEC3B,CD4Tconv,1.149999976158142
PMC8379743_m6A_LUAD,TENM3,B,0.8500000238418579
PMC8379743_m6A_LUAD,IGF2BP1,B,0.6600000262260437
PMC8379743_m6A_LUAD,E2F7,CD8T,1.149999976158142
PMC8379743_m6A_LUAD,ANLN,CD8T,1.149999976158142
PMC8379743_m6A_LUAD,ANKRD18B,CD4Tconv,1.0700000524520874
PMC8379743_m6A_LUAD,FBN2,B,1.0700000524520874
PMC9618960_ICD_LGG,IL17RA,Mono/Macro,2.3399999141693115
PMC9618960_ICD_LGG,IL1R1,MES-like Malignant,2.359999895095825
PMC9618960_ICD_LGG,EIF2AK3,AC-like Malignant,1.5299999713897705
PMC9618960_ICD_LGG,CD4,Mono/Macro,2.2100000381469727
PMC9618960_ICD_LGG,PRF1,CD8Tex,2.4700000286102295
PMC9618960_ICD_LGG,CXCR3,CD8Tex,2.4700000286102295
PMC9618960_ICD_LGG,CD8A,CD8Tex,2.4700000286102295
PMC9618960_ICD_LGG,BAX,CD8Tex,1.1200000047683716
PMC9618960_ICD_LGG,PDIA3,MES-like Malignant,1.2699999809265137
PMC9618960_ICD_LGG,CASP8,CD8Tex,2.440000057220459
PMC9618960_ICD_LGG,MYD88,MES-like Malignant,1.0
PMC9618960_ICD_LGG,CASP1,Mono/Macro,1.6200000047683716
PMC10932653_chromatin_HCC,BMI1,Malignant cells,1.32
PMC10932653_chromatin_HCC,CBX2,TECs,1.91
PMC10932653_chromatin_HCC,MRGBP,Malignant cells,1.95
PMC10662873_anoikis_HCC,BSG,CAFs,1.3
PMC10662873_anoikis_HCC,PLK1,Malignant cells,1.94
PMC10662873_anoikis_HCC,SPP1,TAMs,1.39
PMC10662873_anoikis_HCC,PBK,Malignant cells,2.02
PMC10662873_anoikis_HCC,NQO1,Malignant cells,1.41
PMC10531437_lipid_ERstress_CRC,MMP3,Fibroblast,1.86
PMC10531437_lipid_ERstress_CRC,HSPA8,Fibroblast,1.0
PMC10531437_lipid_ERstress_CRC,PTGIS,Fibroblast,2.27
PMC10531437_lipid_ERstress_CRC,CPT2,MastCell,1.44
PMC10531437_lipid_ERstress_CRC,GPI,Epithelial,1.2
PMC10531437_lipid_ERstress_CRC,CDKN2A,Fibroblast,1.41
PMC10531437_lipid_ERstress_CRC,SPP1,Macrophage,2.19
PMC10531437_lipid_ERstress_CRC,GRP,Bcell,2.27
PMC10531437_lipid_ERstress_CRC,APOE,Macrophage,1.38
PMC10531437_lipid_ERstress_CRC,CHGA,Bcell,1.51
PMC10531437_lipid_ERstress_CRC,CAV1,Endothelial,1.69
PMC10531437_lipid_ERstress_CRC,GSTM1,Bcell,1.85
PMC10531437_lipid_ERstress_CRC,VEGFA,Endothelial,1.5
PMC10531437_lipid_ERstress_CRC,LAMA2,Fibroblast,2.13
PMC10531437_lipid_ERstress_CRC,TIMP1,Fibroblast,1.76
PMC10531437_lipid_ERstress_CRC,AGRN,Endothelial,1.99
PMC10531437_lipid_ERstress_CRC,HSPA1A,Fibroblast,1.9
PMC10531437_lipid_ERstress_CRC,SNAP25,Epithelial,1.7
PMC11085026_ESR_BRCA,ELOVL2,Cancer Epithelial,2.34
PMC11085026_ESR_BRCA,IFNG,T-cells,2.67
PMC11085026_ESR_BRCA,IGF2BP1,Cancer Epithelial,2.34
PMC11085026_ESR_BRCA,MAP2K6,Normal Epithelial,2.08
PMC11085026_ESR_BRCA,MZB1,Plasmablasts,2.66
PMC11085026_ESR_BRCA,PCSK6,Normal Epithelial,2.05
PMC11085026_ESR_BRCA,PCSK9,CAFs,1.87
PMC11085026_ESR_BRCA,POP1,Cancer Epithelial,2.31
PMC10791883_CAF_BRCA,C1S,CAFs,2.53
PMC10791883_CAF_BRCA,CCDC8,CAFs,1.9
PMC10791883_CAF_BRCA,COL12A1,CAFs,2.58
PMC10791883_CAF_BRCA,CTSO,CAFs,1.97
PMC10791883_CAF_BRCA,IGFBP6,CAFs,2.61
PMC10791883_CAF_BRCA,MFAP4,CAFs,2.63
PMC10791883_CAF_BRCA,NT5E,CAFs,2.02
PMC10791883_CAF_BRCA,OSMR,PVL,1.47
PMC10791883_CAF_BRCA,PDLIM4,Normal Epithelial,2.27
PMC10791883_CAF_BRCA,RUNX1,Normal Epithelial,1.78
PMC10791883_CAF_BRCA,SAV1,Normal Epithelial,1.42
PMC10791883_CAF_BRCA,SDC1,Plasmablasts,1.46
PMC10791883_CAF_BRCA,SGCE,CAFs,2.04
PMC10791883_CAF_BRCA,TLN2,CAFs,1.76
