model,gene,top_celltype,zscore
PMC13190656_ferroptosis_CRC,ALG3,Endothelial,1.79
PMC13190656_ferroptosis_CRC,CST1,Fibroblast,1.94
PMC13190656_ferroptosis_CRC,RPS10,MastCell,0.99
PMC13190656_ferroptosis_CRC,TRPV4,Macrophage,2.24
PMC13190656_ferroptosis_CRC,SPRR1A,Epithelial,1.94
PMC13190656_ferroptosis_CRC,FGFR4,Epithelial,1.66
PMC13190656_ferroptosis_CRC,TPM1,Fibroblast,1.53
PMC13190656_ferroptosis_CRC,KDM1A,Epithelial,1.28
PMC11656000_pyroptosis_CRC,IL20RB,Fibroblast,2.2
PMC11656000_pyroptosis_CRC,MID2,Macrophage,2.26
PMC11656000_pyroptosis_CRC,IFITM10,Macrophage,2.17
PMC11656000_pyroptosis_CRC,LAMP5,Fibroblast,2.26
PMC11656000_pyroptosis_CRC,CALB2,MastCell,2.27
PMC11656000_pyroptosis_CRC,BANK1,Bcell,2.19
PMC11656000_pyroptosis_CRC,ANGPTL4,Fibroblast,1.48
PMC11656000_pyroptosis_CRC,CCL22,Tcell,1.44
PMC11656000_pyroptosis_CRC,EGFL7,Endothelial,2.26
PMC11656000_pyroptosis_CRC,UPK3B,Epithelial,1.52
PMC11656000_pyroptosis_CRC,SPTBN5,Epithelial,2.21
PMC11656000_pyroptosis_CRC,TMPRSS11E,MastCell,2.11
PMC11656000_pyroptosis_CRC,LINGO1,Fibroblast,1.7
PMC11656000_pyroptosis_CRC,FENDRR,Fibroblast,2.27
PMC11656000_pyroptosis_CRC,TRAF1,MastCell,2.17
PMC11656000_pyroptosis_CRC,RNF207,MastCell,1.52
PMC11656000_pyroptosis_CRC,ROBO3,Endothelial,1.87
PMC11656000_pyroptosis_CRC,TMEM88,Endothelial,2.24
PMC11656000_pyroptosis_CRC,GRP,Bcell,2.27
PMC11656000_pyroptosis_CRC,SYNGR3,Tcell,2.04
PMC11656000_pyroptosis_CRC,HOXC11,Epithelial,2.27
PMC11656000_pyroptosis_CRC,CHGB,Tcell,1.7
PMC11656000_pyroptosis_CRC,HEYL,Fibroblast,1.93
PMC11656000_pyroptosis_CRC,P2RX5,Bcell,2.04
PMC11656000_pyroptosis_CRC,TOX2,Endothelial,1.92
PMC11384320_m6A_ferroptosis_COAD,HSD17B11,Epithelial,1.75
PMC11384320_m6A_ferroptosis_COAD,VEGFA,Endothelial,1.5
PMC11384320_m6A_ferroptosis_COAD,CXCL2,Macrophage,1.82
PMC11384320_m6A_ferroptosis_COAD,ASNS,Endothelial,1.62
PMC11384320_m6A_ferroptosis_COAD,FABP4,Endothelial,2.27
PMC11384320_m6A_ferroptosis_COAD,GPX2,Epithelial,1.65
PMC11297001_oxidative_stress_COAD,RYR2,Fibroblast,1.86
PMC11297001_oxidative_stress_COAD,GSR,MastCell,2.07
PMC11297001_oxidative_stress_COAD,GSTM1,Bcell,1.85
PMC11297001_oxidative_stress_COAD,HSPA1A,Fibroblast,1.9
PMC11297001_oxidative_stress_COAD,ACADL,Bcell,2.2
PMC11297001_oxidative_stress_COAD,STK25,Endothelial,1.47
PMC11297001_oxidative_stress_COAD,ALOX12,Epithelial,2.27
PMC11297001_oxidative_stress_COAD,MAPK12,Endothelial,1.92
PMC11297001_oxidative_stress_COAD,SERPINA1,Macrophage,1.69
PMC11297001_oxidative_stress_COAD,CYP19A1,Fibroblast,1.99
PMC11297001_oxidative_stress_COAD,NOL3,Epithelial,1.51
PMC11297001_oxidative_stress_COAD,NGF,Tcell,1.96
PMC11297001_oxidative_stress_COAD,GDF15,Endothelial,1.49
PMC11297001_oxidative_stress_COAD,NTRK2,Bcell,1.28
PMC11297001_oxidative_stress_COAD,DAPK1,Macrophage,2.11
PMC11297001_oxidative_stress_COAD,UCN,Macrophage,2.2
PMC11297001_oxidative_stress_COAD,HBA2,Epithelial,2.17
