model,gene,top_celltype,zscore
PMC12575298_NKTAM_HNSCC,ITGB7,NK,1.52
PMC12575298_NKTAM_HNSCC,KDELR1,Plasma,2.41
PMC12575298_NKTAM_HNSCC,ALG5,Plasma,2.19
PMC12575298_NKTAM_HNSCC,ERP44,Treg,1.23
PMC12575298_NKTAM_HNSCC,BRI3,Mono/Macro,2.38
PMC12575298_NKTAM_HNSCC,TMBIM6,Treg,1.6
PMC12575298_NKTAM_HNSCC,BCAP31,DC,1.93
PMC12575298_NKTAM_HNSCC,ATP6V0E1,Treg,1.52
PMC12575298_NKTAM_HNSCC,PLAU,Mast,2.1
PMC12575298_NKTAM_HNSCC,NDUFA4,Tprolif,1.46
PMC12575298_NKTAM_HNSCC,IGFLR1,DC,2.31
PMC12575298_NKTAM_HNSCC,PSMD7,Tprolif,2.19
PMC12575298_NKTAM_HNSCC,PSMC1,Tprolif,2.09
PMC12575298_NKTAM_HNSCC,NDFIP1,Treg,2.43
PMC12575298_NKTAM_HNSCC,SNX6,Treg,1.75
PMC12575298_NKTAM_HNSCC,PSMB5,Mast,1.37
PMC12575298_NKTAM_HNSCC,TCEAL4,Mast,2.81
PMC12575298_NKTAM_HNSCC,ARL6IP1,Tprolif,2.17
PMC12575298_NKTAM_HNSCC,TRPV2,DC,1.33
PMC12575298_NKTAM_HNSCC,P4HA1,Mast,1.91
PMC12575298_NKTAM_HNSCC,TPP1,Mono/Macro,2.07
PMC12575298_NKTAM_HNSCC,ATP2C1,Mast,1.25
PMC12575298_NKTAM_HNSCC,IDH1,Mono/Macro,2.02
PMC9945660_autophagy_lncRNA_HNSCC,MIR503HG,Mast,2.15
PMC8791745_hypoxia_lncRNA_HNSCC,AC144831.1,Mono/Macro,2.48
PMC8791745_hypoxia_lncRNA_HNSCC,MIAT,CD8Tex,1.85
PMC8791745_hypoxia_lncRNA_HNSCC,MSC-AS1,Tprolif,2.27
PMC12971589_CAF_OSCC,THBS1,Endothelial,1.98
PMC12971589_CAF_OSCC,SLFN11,Treg,1.58
PMC12971589_CAF_OSCC,TSPAN11,Mono/Macro,2.52
PMC12971589_CAF_OSCC,ADAMTS15,Epithelial,2.45
PMC12971589_CAF_OSCC,CCR7,Mast,1.99
PMC12971589_CAF_OSCC,AQP1,Endothelial,3.01
PMC12971589_CAF_OSCC,IL13RA2,Malignant,2.7
PMC12971589_CAF_OSCC,SERPINB7,Malignant,3.0
PMC10599730_ERstress_OSCC,IBSP,Endothelial,2.44
PMC10599730_ERstress_OSCC,RDM1,Treg,3.0
PMC10599730_ERstress_OSCC,RBP4,Endothelial,2.76
PMC10287976_chromatin_UVM,RUVBL1,CD8Tex,1.3
PMC10287976_chromatin_UVM,SIRT3,CD8T,2.1
PMC10287976_chromatin_UVM,SMARCD3,CD8T,1.91
PMC9709208_ICD_UVM,CASP8,CD8Tex,2.11
PMC9709208_ICD_UVM,ENTPD1,CD8Tex,1.71
PMC9709208_ICD_UVM,FOXP3,CD8Tex,1.94
PMC9709208_ICD_UVM,IL6,Endothelial,2.01
PMC9709208_ICD_UVM,LY96,Mono/Macro,2.0
PMC12078231_ubiquitination_ALL,ATL2,Tprolif,1.88
PMC12078231_ubiquitination_ALL,MKRN1,Erythrocytes,2.24
PMC12078231_ubiquitination_ALL,FBXW8,Malignant,1.45
PMC12078231_ubiquitination_ALL,FBXO8,Erythrocytes,1.87
PMC12078231_ubiquitination_ALL,DCAF16,Tprolif,1.73
PMC12078231_ubiquitination_ALL,WSB1,Malignant,1.65
PMC12078231_ubiquitination_ALL,CHFR,Tprolif,1.58
PMC12078231_ubiquitination_ALL,MDM2,Malignant,2.17
PMC12078231_ubiquitination_ALL,SOCS2,Malignant,2.23
PMC8464158_glycolysis_lncRNA_OV,AC133644.2,Tprolif,1.82
PMC8464158_glycolysis_lncRNA_OV,LINC00240,Epithelial,2.0
PMC8464158_glycolysis_lncRNA_OV,TMEM254-AS1,Myofibroblasts,1.29
PMC11550951_cuproptosis_lncRNA_PRAD,AC010896.1,Fibroblasts,1.93
PMC11550951_cuproptosis_lncRNA_PRAD,AC016394.2,Fibroblasts,1.63
PMC11550951_cuproptosis_lncRNA_PRAD,SNHG9,Epithelial,1.62
PMC12504172_nucleotide_MB,EIF4EBP1,Neutrophils,1.25
PMC12504172_nucleotide_MB,PRKDC,Malignant,1.48
PMC12504172_nucleotide_MB,SCARB1,Mono/Macro,1.47
PMC12504172_nucleotide_MB,COL4A5,Malignant,1.5
PMC12504172_nucleotide_MB,SMN1,Malignant,1.46
PMC12504172_nucleotide_MB,FASN,Malignant,1.49
PMC12504172_nucleotide_MB,PLPBP,Neutrophils,1.25
PMC12504172_nucleotide_MB,PTPN1,CD8T,0.86
PMC12504172_nucleotide_MB,ATAD3A,Malignant,1.34
PMC12504172_nucleotide_MB,APTX,Malignant,1.34
PMC12504172_nucleotide_MB,EIF2AK3,Malignant,1.07
PMC12504172_nucleotide_MB,LYST,Neutrophils,1.45
PMC12504172_nucleotide_MB,PDE4D,Malignant,1.23
PMC12504172_nucleotide_MB,HDAC8,Malignant,1.39
PMC12504172_nucleotide_MB,PINK1,Malignant,0.77
