model,gene,top_celltype
PMC12078231_ubiquitination_ALL,ATL2,Tprolif
PMC12078231_ubiquitination_ALL,MKRN1,Erythrocytes
PMC12078231_ubiquitination_ALL,FBXW8,Malignant
PMC12078231_ubiquitination_ALL,FBXO8,Erythrocytes
PMC12078231_ubiquitination_ALL,DCAF16,Tprolif
PMC12078231_ubiquitination_ALL,WSB1,Malignant
PMC12078231_ubiquitination_ALL,CHFR,CD4Tconv
PMC12078231_ubiquitination_ALL,MDM2,Malignant
PMC12078231_ubiquitination_ALL,SOCS2,Malignant
PMC12378281_disulfidptosis_AML,AIFM2,Plasma
PMC12378281_disulfidptosis_AML,FTMT,Mono/Macro
PMC12378281_disulfidptosis_AML,MYB,Malignant
PMC12378281_disulfidptosis_AML,PRKAA2,HSC
PMC12378281_disulfidptosis_AML,PSAT1,Plasma
PMC12378281_disulfidptosis_AML,SLC7A11,Plasma
PMC12402452_exosome_AML,EXOSC4,EryPro
PMC12402452_exosome_AML,TMEM109,Progenitor
PMC12402452_exosome_AML,THBS1,Mono/Macro
PMC12402452_exosome_AML,MYH9,Mono/Macro
PMC12402452_exosome_AML,HLA-DRA,Malignant
PMC11564170_cuproptosis_AML,LGR4,EryPro
PMC11564170_cuproptosis_AML,C2orf88,Plasma
PMC11564170_cuproptosis_AML,PGAP1,CD4Tconv
PMC11564170_cuproptosis_AML,ACSM1,EryPro
PMC11564170_cuproptosis_AML,PRSS2,HSC
PMC11564170_cuproptosis_AML,SNORD19C,Malignant
PMC11564170_cuproptosis_AML,PSMD6-AS2,Promonocyte
PMC11564170_cuproptosis_AML,CNN3,HSC
PMC12084325_disulfidptosis_lncRNA_AML,LINC01694,Malignant
PMC12084325_disulfidptosis_lncRNA_AML,THAP9-AS1,Progenitor
PMC12084325_disulfidptosis_lncRNA_AML,L3MBTL4-AS1,Malignant
PMC9341065_immune_autophagy_BLCA,CD96,Endothelial
PMC9341065_immune_autophagy_BLCA,CSF3R,Fibroblasts
PMC9341065_immune_autophagy_BLCA,IL10,Fibroblasts
PMC9341065_immune_autophagy_BLCA,OLR1,Epithelial
PMC7880321_immune_BLCA,AHNAK,Epithelial
PMC7880321_immune_BLCA,CALR,Fibroblasts
PMC7880321_immune_BLCA,PLA2G2A,Fibroblasts
PMC7880321_immune_BLCA,OAS1,Epithelial
PMC7880321_immune_BLCA,CDH1,Epithelial
PMC7880321_immune_BLCA,PDGFRA,Fibroblasts
PMC7880321_immune_BLCA,SEMA3F,Endothelial
PMC7880321_immune_BLCA,RAC3,Fibroblasts
PMC7880321_immune_BLCA,IRF5,Epithelial
PMC7880321_immune_BLCA,CARD11,Epithelial
PMC12891303_CAF_BLCA,SERPINF1,Fibroblasts
PMC12891303_CAF_BLCA,DDR2,Fibroblasts
PMC12891303_CAF_BLCA,SLIT2,Fibroblasts
PMC12891303_CAF_BLCA,HSPG2,Endothelial
PMC12891303_CAF_BLCA,ECM1,Fibroblasts
PMC12891303_CAF_BLCA,RECK,Fibroblasts
PMC10140328_CAF_BLCA,LRP1,Fibroblasts
PMC10140328_CAF_BLCA,ANXA5,Fibroblasts
PMC10140328_CAF_BLCA,SERPINE2,Fibroblasts
PMC10140328_CAF_BLCA,ECM1,Fibroblasts
PMC10140328_CAF_BLCA,RBP1,Fibroblasts
PMC10140328_CAF_BLCA,GJA1,Fibroblasts
PMC10140328_CAF_BLCA,FKBP10,Fibroblasts
PMC13355270_mitophagy_BLCA,NTN4,Epithelial
PMC13355270_mitophagy_BLCA,AKR1B1,Epithelial
