model,gene,top_celltype,zscore
PMC10900655_lactylation_CRC,HSPA1B,Endothelial,1.07
PMC10900655_lactylation_CRC,LGALS4,Epithelial,2.06
PMC10900655_lactylation_CRC,HSPB1,Fibroblast,1.66
PMC10900655_lactylation_CRC,ARPC1B,Endothelial,1.49
PMC10900655_lactylation_CRC,ACTG1,Fibroblast,0.73
PMC10900655_lactylation_CRC,LEPROTL1,Tcell,1.96
PMC10900655_lactylation_CRC,HMGN2,Endothelial,1.68
PMC10900655_lactylation_CRC,SFPQ,MastCell,1.77
PMC10900655_lactylation_CRC,RBM3,Endothelial,2.1
PMC10900655_lactylation_CRC,SLC2A3,Endothelial,1.34
PMC10900655_lactylation_CRC,LY6E,Fibroblast,1.77
PMC10900655_lactylation_CRC,ARL4C,Tcell,1.39
PMC10900655_lactylation_CRC,UBE2I,Epithelial,1.13
PMC10900655_lactylation_CRC,AP2M1,Endothelial,2.09
PMC10900655_lactylation_CRC,TERF2IP,Endothelial,2.09
PMC10900655_lactylation_CRC,H2AFY,Macrophage,1.37
PMC10900655_lactylation_CRC,RAB5C,Macrophage,1.9
PMC10900655_lactylation_CRC,LITAF,Macrophage,1.3
PMC10900655_lactylation_CRC,MED10,Endothelial,2.16
PMC10900655_lactylation_CRC,RBM17,Fibroblast,1.19
PMC10900655_lactylation_CRC,METTL9,Fibroblast,1.25
PMC10900655_lactylation_CRC,NR1H2,Macrophage,2.08
PMC10900655_lactylation_CRC,PTTG1,Tcell,1.6
