model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC10046686_pyroptosis_lncRNA_STAD,GSE167297,5,9,Epithelial,2,0.4,0.394,0.0982404443767041,Epithelial_mixed,False,0.13905369756010041,False,True
PMC10076677_anoikis_lncRNA_OS,OS_GSE162454,2,8,Fibroblasts,2,1.0,1.0,0.015625,Stromal_Vascular,False,0.04973846672316805,True,True
PMC10085621_hypoxia_NSCLC,NSCLC_GSE131907,12,3,CD8T,7,0.583,0.127,0.06644763953101097,Immune_Hematopoietic,False,0.1055344863139586,False,False
PMC10140328_CAF_BLCA,BLCA_GSE130001,7,4,Fibroblasts,7,1.0,1.0,6.103515625e-05,Stromal_Vascular,True,0.00164794921875,True,False
PMC10164321_pyroptosis_HCC,GSE151530,2,6,TAMs,2,1.0,1.0,0.027777777777777776,Immune_Hematopoietic,False,0.06122448979591836,False,True
PMC10184413_cuproptosis_ferroptosis_KIRC,KIRC_GSE159115,6,8,Endothelial,2,0.333,0.249,0.16652297973632812,Stromal_Vascular,False,0.20930232558139533,False,False
PMC10287976_chromatin_UVM,UVM_GSE139829,3,8,Malignant,3,1.0,1.0,0.001953125,Malignant,False,0.01171875,True,True
PMC10294479_autophagy_HCC,GSE151530,13,6,Malignant cells,8,0.615,0.484,0.00034504414501092305,Malignant,False,0.004956426791313978,True,False
PMC10339815_DDR_lncRNA_STAD,GSE167297,3,9,Epithelial,2,0.667,0.71,0.03429355281207132,Epithelial_mixed,False,0.06734006734006731,False,True
PMC10414028_hypoxia_LUAD,NSCLC_GSE131907,6,3,B,6,1.0,1.0,0.0013717421124828527,Immune_Hematopoietic,False,0.008714596949891063,True,False
PMC10469729_glutamine_UCEC,UCEC_GSE139555,3,6,Fibroblasts,3,1.0,1.0,0.0046296296296296285,Stromal_Vascular,False,0.021213600081423364,True,True
PMC10469923_anoikis_PRAD,PRAD_GSE172301,7,9,Fibroblasts,3,0.429,0.419,0.03401255579954625,Stromal_Vascular,False,0.06734006734006731,False,False
PMC10475834_cuproptosis_lncRNA_LUAD,NSCLC_GSE131907,5,3,B,3,0.6,0.387,0.20987654320987653,Immune_Hematopoietic,False,0.2518518518518518,False,True
PMC10531437_lipid_ERstress_CRC,GSE81861,18,7,Fibroblast,7,0.389,0.25,0.009067016053289531,Stromal_Vascular,False,0.032641257791842314,True,False
PMC10564413_senescence_CESC,CESC_GSE168652,6,7,Malignant,2,0.333,0.317,0.206861086792068,Malignant,False,0.25102244239936344,False,False
PMC10599730_ERstress_OSCC,OSCC_GSE172577,3,11,Endothelial,2,0.667,0.735,0.02329075882794891,Stromal_Vascular,False,0.058497719846941444,False,True
PMC10616163_chromatin_HCC,GSE151530,6,6,Malignant cells,2,0.333,0.258,0.26322445130315497,Malignant,False,0.29924463937621826,False,False
PMC10662873_anoikis_HCC,GSE151530,5,6,Malignant cells,5,1.0,1.0,0.00012860082304526745,Malignant,False,0.002777777777777777,True,True
PMC10683111_anoikis_lncRNA_HNSCC,HNSC_GSE139324,2,11,Plasma,1,0.5,0.711,0.17355371900826444,Immune_Hematopoietic,False,0.21544599601025932,False,True
PMC10791883_CAF_BRCA,GSE176078,14,9,CAFs,9,0.643,0.549,3.055233251672173e-06,Stromal_Vascular,True,0.00016953748336281694,True,False
PMC10807923_anoikis_OV,OV_GSE154600,13,11,Malignant,6,0.462,0.533,0.0005507140879237754,Malignant,False,0.004956426791313978,True,False
PMC10900655_lactylation_CRC,GSE81861,23,7,Endothelial,6,0.261,0.118,0.09914013622340492,Stromal_Vascular,False,0.13905369756010041,False,False
PMC10932653_chromatin_HCC,GSE151530,3,6,Malignant cells,2,0.667,0.645,0.07407407407407406,Malignant,False,0.11267605633802814,False,True
PMC10980369_ERstress_SKCM,SKCM_GSE120575,7,10,Tprolif,3,0.429,0.359,0.025691500000000006,Immune_Hematopoietic,False,0.06122448979591836,False,False
PMC11085026_ESR_BRCA,GSE176078,8,9,Cancer Epithelial,5,0.625,0.511,0.0007092061669459093,Malignant,False,0.005723632872104645,True,False
PMC11178724_cuproptosis_methylation_SKCM,SKCM_GSE120575,5,10,Mono/Macro,3,0.6,0.708,0.008560000000000002,Immune_Hematopoietic,False,0.03187862068965518,True,True
PMC11297001_oxidative_stress_COAD,GSE81861,17,7,Epithelial,6,0.353,0.168,0.025610637541653887,Epithelial_mixed,False,0.06122448979591836,False,False
PMC11310873_lncRNA_LUAD,NSCLC_GSE131907,2,3,CD4Tconv,1,0.5,0.369,0.5555555555555556,Immune_Hematopoietic,False,0.5555555555555556,False,True
PMC11382408_cuproptosis_HCC,GSE151530,6,6,TECs,3,0.5,0.436,0.06228566529492454,Stromal_Vascular,False,0.10245070941588352,False,False
PMC11384320_m6A_ferroptosis_COAD,GSE81861,6,7,Epithelial,3,0.5,0.48,0.04162381320708209,Epithelial_mixed,False,0.07813277228081938,False,False
PMC11411761_anoikis_BRCA,GSE176078,10,9,Cancer Epithelial,4,0.4,0.354,0.01842165434191409,Malignant,False,0.04973846672316805,True,False
PMC11483459_cuproptosis_CRC,GSE81861,2,7,Epithelial,2,1.0,1.0,0.02040816326530612,Epithelial_mixed,False,0.052478134110787174,False,True
PMC11491388_disulfidptosis_lncRNA_HCC,GSE151530,4,6,Malignant cells,3,0.75,0.686,0.016203703703703703,Malignant,False,0.04973846672316805,True,True
PMC11504279_hypoxia_PAAD,PAAD_GSE154778,3,6,Malignant,2,0.667,0.645,0.07407407407407406,Malignant,False,0.11267605633802814,False,True
PMC11550951_cuproptosis_lncRNA_PRAD,PRAD_GSE172301,3,9,Fibroblasts,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.06734006734006731,False,True
PMC11564170_cuproptosis_AML,AML_GSE116256,8,13,EryPro,3,0.375,0.417,0.01898544286895872,Immune_Hematopoietic,False,0.05001043487433029,False,False
PMC11577587_glutamine_HCC,GSE151530,4,6,Malignant cells,4,1.0,1.0,0.0007716049382716048,Malignant,False,0.005723632872104645,True,True
PMC11634757_lactylation_STAD,GSE167297,3,9,Endothelial,1,0.333,0.5,0.29766803840877915,Stromal_Vascular,False,0.3214814814814815,False,True
PMC11656000_pyroptosis_CRC,GSE81861,25,7,Fibroblast,6,0.24,0.027,0.1362910787869845,Stromal_Vascular,False,0.1795053232804186,False,False
PMC11760997_senescence_STAD,GSE167297,4,9,Fibroblasts,3,0.75,0.744,0.005029721079103795,Stromal_Vascular,False,0.021213600081423364,True,True
PMC11855622_mitophagyE3_BRCA,GSE176078,4,9,Cancer Epithelial,2,0.5,0.527,0.06355738454503886,Malignant,False,0.10245070941588352,False,True
PMC11866598_telomere_HCC,GSE151530,18,6,Malignant cells,12,0.667,0.561,3.1395830252373506e-06,Malignant,False,0.00016953748336281694,True,False
PMC11914417_disulfidptosis_CRC,GSE81861,8,7,Epithelial,4,0.5,0.377,0.018018488409226964,Epithelial_mixed,False,0.04973846672316805,True,False
PMC11920466_COAD,GSE81861,10,7,Fibroblast,4,0.4,0.244,0.042683644116373556,Stromal_Vascular,False,0.07813277228081938,False,False
PMC12047218_glycolysis_OS,OS_GSE162454,4,8,Malignant,3,0.75,0.73,0.007080078125,Malignant,False,0.0283203125,True,True
PMC12055729_lactylation_UCEC,UCEC_GSE139555,1,6,Fibroblasts,1,1.0,1.0,0.16666666666666666,Stromal_Vascular,False,0.20930232558139533,False,True
PMC12078231_ubiquitination_ALL,ALL_GSE132509,9,7,Malignant,4,0.444,0.346,0.028809494031103593,Malignant,False,0.062228507107183764,False,False
PMC12084325_disulfidptosis_lncRNA_AML,AML_GSE116256,3,13,HSC,2,0.667,0.752,0.016841147018661816,Immune_Hematopoietic,False,0.04973846672316805,True,True
PMC12179157_PANoptosis_SKCM,SKCM_GSE120575,9,10,Tprolif,3,0.333,0.339,0.052972138,Immune_Hematopoietic,False,0.08939048287500001,False,False
PMC12210501_ferroptosis_LUAD,NSCLC_GSE131907,4,3,CD4Tconv,2,0.5,0.054,0.40740740740740744,Immune_Hematopoietic,False,0.42307692307692313,False,True
PMC12219082_necroptosis_SKCM,SKCM_GSE120575,8,10,NK,4,0.5,0.473,0.005024350000000003,Immune_Hematopoietic,False,0.021213600081423364,True,False
PMC12239816_hypoxia_Glioma,Glioma_GSE131928,23,8,Mono/Macro,8,0.348,0.27,0.005106977797379698,Immune_Hematopoietic,False,0.021213600081423364,True,False
PMC12354743_NETs_Glioma,Glioma_GSE131928,4,8,AC-like Malignant,2,0.5,0.5,0.078857421875,Malignant,False,0.11666577482876711,False,True
PMC12378281_disulfidptosis_AML,AML_GSE116256,6,13,Plasma,3,0.5,0.516,0.007622634332537296,Immune_Hematopoietic,False,0.02940158956835814,True,False
PMC12399450_mitochondrial_STAD,GSE167297,3,9,Epithelial,2,0.667,0.71,0.03429355281207132,Epithelial_mixed,False,0.06734006734006731,False,True
PMC12402452_exosome_AML,AML_GSE116256,5,13,Mono/Macro,2,0.4,0.481,0.050582693452340885,Immune_Hematopoietic,False,0.08811178859440025,False,True
PMC12504172_nucleotide_MB,MB_GSE155446,15,4,Malignant,10,0.667,0.379,0.000794949010014534,Malignant,False,0.005723632872104645,True,False
PMC12647489_cholesterol_HCC,GSE151530,8,6,Malignant cells,6,0.75,0.589,0.00044117226794695925,Malignant,False,0.004956426791313978,True,False
PMC12891303_CAF_BLCA,BLCA_GSE130001,6,4,Fibroblasts,5,0.833,0.675,0.004638671875,Stromal_Vascular,False,0.021213600081423364,True,False
PMC12891315_CAF_UCEC,UCEC_GSE139555,12,6,Tprolif,9,0.75,0.597,1.3419348143773245e-05,Immune_Hematopoietic,False,0.00048309653317583684,True,False
PMC12905907_disulfidptosis_SKCM,SKCM_GSE120575,5,10,Tprolif,2,0.4,0.421,0.08146,Immune_Hematopoietic,False,0.11888756756756758,False,True
PMC12906242_m6A_OS,OS_GSE162454,14,8,Osteoblasts,6,0.429,0.424,0.004667430710242115,Stromal_Vascular,False,0.021213600081423364,True,False
PMC12971589_CAF_OSCC,OSCC_GSE172577,8,11,Mono/Macro,2,0.25,0.277,0.16028671562247984,Immune_Hematopoietic,True,0.20608292008604553,False,False
PMC13083393_autophagy_BRCA,GSE176078,11,9,Endothelial,6,0.545,0.353,0.0005282990825219076,Stromal_Vascular,False,0.004956426791313978,True,False
PMC13190656_ferroptosis_CRC,GSE81861,8,7,Epithelial,6,0.75,0.622,0.00018335411751420382,Epithelial_mixed,False,0.0033003741152556687,True,False
PMC13333213_pyroptosis_NSCLC,NSCLC_GSE131907,2,3,B,2,1.0,1.0,0.1111111111111111,Immune_Hematopoietic,False,0.15000000000000002,False,True
PMC13355270_mitophagy_BLCA,BLCA_GSE130001,5,4,Epithelial,3,0.6,0.315,0.103515625,Epithelial_mixed,False,0.14332932692307693,False,True
PMC13406258_PCDgenes_BRCA,GSE176078,8,9,Cancer Epithelial,3,0.375,0.32,0.04999816362319441,Malignant,False,0.08811178859440025,False,False
PMC13490468_ATIC_HCC,GSE151530,4,6,Malignant cells,3,0.75,0.686,0.016203703703703703,Malignant,False,0.04973846672316805,True,True
PMC7847640_glycolysis_lncRNA_UCEC,UCEC_GSE139555,2,6,Tprolif,1,0.5,0.613,0.3055555555555555,Immune_Hematopoietic,False,0.32673267326732675,False,True
PMC7880321_immune_BLCA,BLCA_GSE130001,10,4,Epithelial,5,0.5,0.32,0.07812690734863281,Epithelial_mixed,False,0.11666577482876711,False,False
PMC8291813_cGASSTING_STAD,GSE167297,3,9,Mono/Macro,1,0.333,0.5,0.29766803840877915,Immune_Hematopoietic,False,0.3214814814814815,False,True
PMC8377503_glycolysis_colon,GSE81861,8,7,Endothelial,2,0.25,0.199,0.3201666458217726,Stromal_Vascular,False,0.3389999779289357,False,False
PMC8379743_m6A_LUAD,NSCLC_GSE131907,7,3,CD4Tconv,3,0.429,0.086,0.42935528120713307,Immune_Hematopoietic,False,0.43745632424877706,False,False
PMC8464158_glycolysis_lncRNA_OV,OV_GSE154600,3,11,Plasma,1,0.333,0.542,0.24868519909842218,Immune_Hematopoietic,False,0.28879571508203866,False,True
PMC8605142_glycolysis_HCC,GSE151530,3,6,Malignant cells,2,0.667,0.645,0.07407407407407406,Malignant,False,0.11267605633802814,False,True
PMC8791745_hypoxia_lncRNA_HNSCC,HNSC_GSE139324,3,11,Mono/Macro,1,0.333,0.542,0.24868519909842218,Immune_Hematopoietic,False,0.28879571508203866,False,True
PMC8812245_glycolysis_READ,GSE81861,6,7,Fibroblast,3,0.5,0.48,0.04162381320708209,Stromal_Vascular,False,0.07813277228081938,False,False
PMC8994655_autophagy_lncRNA_STAD,GSE167297,3,9,DC,1,0.333,0.5,0.29766803840877915,Immune_Hematopoietic,False,0.3214814814814815,False,True
PMC9035888_autophagy_BRCA,GSE176078,3,9,Cancer Epithelial,1,0.333,0.5,0.29766803840877915,Malignant,False,0.3214814814814815,False,True
PMC9048552_autophagy_lncRNA_SKCM,SKCM_GSE120575,12,10,Mono/Macro,5,0.417,0.382,0.004329343270000001,Immune_Hematopoietic,False,0.021213600081423364,True,False
PMC9086515_ferroptosis_Glioma,Glioma_GSE131928,9,8,MES-like Malignant,4,0.444,0.314,0.018260240554809567,Malignant,False,0.04973846672316805,True,False
PMC9092832_hypoxia_lncRNA_digestive_panCancer,GSE167297,4,9,Mono/Macro,2,0.5,0.527,0.06355738454503886,Immune_Hematopoietic,False,0.10245070941588352,False,True
PMC9097333_autophagy_GBM,Glioma_GSE131928,7,8,MES-like Malignant,3,0.429,0.386,0.0463099479675293,Malignant,False,0.08335790634155274,False,False
PMC9124146_autophagy_lncRNA_PAAD,PAAD_GSE154778,7,6,Epithelial,4,0.571,0.467,0.017632601737540006,Epithelial_mixed,False,0.04973846672316805,True,False
