model,dataset,n_genes,K_celltypes,top_celltype,top_count,max_prop,entropy_concentration,binom_pvalue,top_category,tautological_pool,fdr_qvalue,significant_fdr05,underpowered_n_lt6
PMC10022822,GSE167297,4,9,DC,1,0.25,0.369,0.3757049230300259,Immune_Hematopoietic,False,0.39392941556506444,False,True
PMC10043308,GSE176078,10,9,Cancer Epithelial,3,0.3,0.402,0.09059653269912626,Malignant,False,0.1805505367975495,False,False
PMC10046686_pyroptosis_lncRNA_STAD,GSE167297,5,9,Fibroblasts,2,0.4,0.394,0.0982404443767041,Stromal_Vascular,False,0.1877929582983255,False,True
PMC10056698,PRAD_GSE172301,5,9,SMC,1,0.2,0.268,0.4450710426933563,Stromal_Vascular,False,0.45428373979230885,False,True
PMC10076677_anoikis_lncRNA_OS,OS_GSE162454,2,8,Fibroblasts,2,1.0,1.0,0.015625,Stromal_Vascular,False,0.0679588170259812,False,True
PMC10085621_hypoxia_NSCLC,NSCLC_GSE131907,12,3,CD8T,11,0.917,0.739,4.704191057897299e-05,Immune_Hematopoietic,False,0.0010071910698571432,True,False
PMC10125743,NSCLC_GSE131907,3,3,CD8T,2,0.667,0.421,0.2592592592592592,Immune_Hematopoietic,False,0.31859410430839,False,True
PMC10140328_CAF_BLCA,BLCA_GSE130001,7,4,Fibroblasts,6,0.857,0.704,0.0013427734375,Stromal_Vascular,True,0.012577311197916666,True,False
PMC10164321_pyroptosis_HCC,GSE151530,2,6,TAMs,2,1.0,1.0,0.027777777777777776,Immune_Hematopoietic,False,0.09404283801874162,False,True
PMC10184413_cuproptosis_ferroptosis_KIRC,KIRC_GSE159115,6,8,Endothelial,2,0.333,0.249,0.16652297973632812,Stromal_Vascular,False,0.24017094017094015,False,False
PMC10287976_chromatin_UVM,UVM_GSE139829,3,8,CD8T,2,0.667,0.694,0.04296875,Immune_Hematopoietic,False,0.1107726490825688,False,True
PMC10290322,Glioma_GSE131928,34,8,MES-like Malignant,15,0.441,0.195,5.003528889017496e-06,Malignant,False,0.0002343319363023194,True,False
PMC10294479_autophagy_HCC,GSE151530,13,6,Malignant cells,5,0.385,0.294,0.051154700522156385,Malignant,False,0.12499539866718212,False,False
PMC10339815_DDR_lncRNA_STAD,GSE167297,3,9,Fibroblasts,2,0.667,0.71,0.03429355281207132,Stromal_Vascular,False,0.09875015279305707,False,True
PMC10414028_hypoxia_LUAD,NSCLC_GSE131907,6,3,CD8T,4,0.667,0.21,0.10013717421124826,Immune_Hematopoietic,False,0.18929752424185675,False,False
PMC10469729_glutamine_UCEC,UCEC_GSE139555,3,6,Fibroblasts,3,1.0,1.0,0.0046296296296296285,Stromal_Vascular,False,0.028336234714673912,True,True
PMC10469923_anoikis_PRAD,PRAD_GSE172301,7,9,Fibroblasts,4,0.571,0.475,0.004039541130205943,Stromal_Vascular,False,0.02639793157181093,True,False
PMC10475834_cuproptosis_lncRNA_LUAD,NSCLC_GSE131907,5,3,B,2,0.4,0.04,0.5390946502057613,Immune_Hematopoietic,False,0.5449122183734494,False,True
PMC10522364,GSE167297,22,9,Fibroblasts,9,0.409,0.341,0.00032974487986447265,Stromal_Vascular,False,0.00535203950744329,True,False
PMC10531437_lipid_ERstress_CRC,GSE81861,18,7,Fibroblast,7,0.389,0.171,0.009067016053289531,Stromal_Vascular,False,0.047182065018043666,True,False
PMC10564413_senescence_CESC,CESC_GSE168652,6,7,Endometrial stromal cells,2,0.333,0.198,0.206861086792068,Stromal_Vascular,False,0.2821745892649083,False,False
PMC10599730,OSCC_GSE172577,3,11,Endothelial,2,0.667,0.735,0.02329075882794891,Stromal_Vascular,False,0.08499614585264471,False,True
PMC10599730_ERstress_OSCC,OSCC_GSE172577,3,11,Endothelial,2,0.667,0.735,0.02329075882794891,Stromal_Vascular,False,0.08499614585264471,False,True
PMC10616163,GSE151530,6,6,Malignant cells,2,0.333,0.258,0.26322445130315497,Malignant,False,0.31859410430839,False,False
PMC10616163_chromatin_HCC,GSE151530,6,6,Malignant cells,2,0.333,0.258,0.26322445130315497,Malignant,False,0.31859410430839,False,False
PMC10620278,PAAD_GSE154778,8,6,Mono/Macro,4,0.5,0.226,0.03065641194177717,Immune_Hematopoietic,False,0.09789149722317483,False,False
PMC10662873,GSE151530,5,6,Malignant cells,3,0.6,0.47,0.035493827160493825,Malignant,False,0.09875015279305707,False,True
PMC10662873_anoikis_HCC,GSE151530,5,6,Malignant cells,3,0.6,0.47,0.035493827160493825,Malignant,False,0.09875015279305707,False,True
PMC10663558,GSE151530,4,6,CAFs,2,0.5,0.42,0.13194444444444442,Stromal_Vascular,False,0.20829431960049932,False,True
PMC10666655,NSCLC_GSE131907,1,3,CD4Tconv,1,1.0,1.0,0.3333333333333333,Immune_Hematopoietic,False,0.35887611749680715,False,True
PMC10683111_anoikis_lncRNA_HNSCC,HNSC_GSE139324,2,11,DC,1,0.5,0.711,0.17355371900826444,Immune_Hematopoietic,False,0.24630603556223388,False,True
PMC10683585,SKCM_GSE120575,4,10,Treg,1,0.25,0.398,0.34390000000000004,Immune_Hematopoietic,False,0.36883931297709927,False,True
PMC10709318,GSE176078,10,9,Endothelial,3,0.3,0.252,0.09059653269912626,Stromal_Vascular,False,0.1805505367975495,False,False
PMC10721979,PAAD_GSE154778,11,6,Plasma,3,0.273,0.137,0.27322487699569437,Immune_Hematopoietic,False,0.3253228408296191,False,False
PMC10791883_CAF_BRCA,GSE176078,14,9,CAFs,9,0.643,0.549,3.055233251672173e-06,Stromal_Vascular,True,0.00017170410874397615,True,False
PMC10807923_anoikis_OV,OV_GSE154600,13,11,Fibroblasts,6,0.462,0.453,0.0005507140879237754,Stromal_Vascular,False,0.006728289508981777,True,False
PMC10829884,GSE81861,9,7,Epithelial,4,0.444,0.267,0.028809494031103593,Epithelial_mixed,False,0.09524079791458952,False,False
PMC10851502,GSE151530,1,6,Malignant cells,1,1.0,1.0,0.16666666666666666,Malignant,False,0.24017094017094015,False,True
PMC10861726,HNSC_GSE139324,4,11,Mono/Macro,2,0.5,0.566,0.04378116248890103,Immune_Hematopoietic,False,0.11184096963073809,False,True
PMC10873882,PAAD_GSE154778,4,6,Epithelial,2,0.5,0.42,0.13194444444444442,Epithelial_mixed,False,0.20829431960049932,False,True
PMC10900655_lactylation_CRC,GSE81861,23,7,Endothelial,8,0.348,0.169,0.011437535051200067,Stromal_Vascular,False,0.05685465505454435,False,False
PMC10909728,GSE81861,8,7,Macrophage,2,0.25,0.199,0.3201666458217726,Immune_Hematopoietic,False,0.3528110881408553,False,False
PMC10911888,GSE167297,5,9,Fibroblasts,2,0.4,0.394,0.0982404443767041,Stromal_Vascular,False,0.1877929582983255,False,True
PMC10932653_chromatin_HCC,GSE151530,3,6,Malignant cells,2,0.667,0.645,0.07407407407407406,Malignant,False,0.16057199671648553,False,True
PMC10933109,AML_GSE116256,2,13,Tprolif,1,0.5,0.73,0.14792899408284027,Immune_Hematopoietic,False,0.2246921477690709,False,True
PMC10980369_ERstress_SKCM,SKCM_GSE120575,7,10,Tprolif,2,0.286,0.241,0.14969440000000003,Immune_Hematopoietic,False,0.22615121720430112,False,False
PMC10981052,NSCLC_GSE131907,12,3,CD8T,5,0.417,0.064,0.36847928556509574,Immune_Hematopoietic,False,0.3922071183476966,False,False
PMC10985269,PRAD_GSE172301,4,9,Epithelial,1,0.25,0.369,0.3757049230300259,Epithelial_mixed,False,0.39392941556506444,False,True
PMC10986118,GSE176078,9,9,Cancer Epithelial,6,0.667,0.544,0.00011714661792190339,Malignant,False,0.002194546642403657,True,False
PMC11025768,GSE151530,4,6,Malignant cells,2,0.5,0.42,0.13194444444444442,Malignant,False,0.20829431960049932,False,True
PMC11031923,PRAD_GSE172301,2,9,Epithelial,2,1.0,1.0,0.012345679012345678,Epithelial_mixed,False,0.05879891190625653,False,True
PMC11057184,GSE81861,2,7,Epithelial,1,0.5,0.644,0.2653061224489796,Epithelial_mixed,False,0.31859410430839,False,True
PMC11085026_ESR_BRCA,GSE176078,8,9,Cancer Epithelial,3,0.375,0.32,0.04999816362319441,Malignant,False,0.12324108752734762,False,False
PMC11102376,NSCLC_GSE131907,13,3,CD8T,10,0.769,0.508,0.0016477213212128278,Immune_Hematopoietic,False,0.014030596704872868,True,False
PMC11134425,NSCLC_GSE131907,9,3,CD8T,6,0.667,0.227,0.04242239496011786,Immune_Hematopoietic,False,0.1107726490825688,False,False
