pmid,theme,pmcid,has_pmc_link,in_oa_bucket,n_files,downloaded
42614290,ferroptosis,13481506,True,True,29,True
42566813,ferroptosis,,False,False,0,False
42539530,ferroptosis,13423694,True,True,26,True
42445428,ferroptosis,13357108,True,True,17,True
42440056,ferroptosis,,False,False,0,False
42306048,ferroptosis,13267736,True,True,14,True
42228288,ferroptosis,13442788,True,True,14,True
42180976,ferroptosis,13190658,True,True,21,True
42180975,ferroptosis,13190656,True,True,15,True
42180059,ferroptosis,13194531,True,True,13,True
42084694,ferroptosis,13287189,True,True,16,True
41979697,ferroptosis,13201825,True,True,17,True
41933075,ferroptosis,13172236,True,True,16,True
41796391,ferroptosis,,False,False,0,False
41737777,ferroptosis,12927744,True,True,14,True
41590357,ferroptosis,12839614,True,True,14,True
41572694,ferroptosis,,False,False,0,False
41423669,ferroptosis,12838421,True,True,14,True
41409290,ferroptosis,12705533,True,True,15,True
41403955,ferroptosis,12702848,True,True,21,True
41346575,ferroptosis,12672885,True,True,17,True
41332904,ferroptosis,12666366,True,True,16,True
41325548,ferroptosis,12668565,True,True,14,True
41305798,ferroptosis,12643724,True,True,9,True
41229810,ferroptosis,12603432,True,True,17,True
41216727,ferroptosis,,False,False,0,False
41211107,ferroptosis,12592011,True,True,17,True
41200204,ferroptosis,12585956,True,True,19,True
41174714,ferroptosis,12577414,True,True,9,True
41106766,ferroptosis,,False,False,0,False
42321590,cuproptosis,,False,False,0,False
42262432,cuproptosis,13400501,True,True,14,True
42212700,cuproptosis,13239323,True,True,48,True
42159135,cuproptosis,,False,False,0,False
42116352,cuproptosis,13166465,True,True,23,True
42071198,cuproptosis,13285077,True,True,19,True
42029881,cuproptosis,13243164,True,True,16,True
41969462,cuproptosis,,,,,
41824199,cuproptosis,,False,False,0,False
41824163,cuproptosis,13100239,True,True,18,True
41787436,cuproptosis,13077813,True,True,16,True
41739297,cuproptosis,,False,False,0,False
41578779,cuproptosis,12824887,True,True,17,True
41568495,cuproptosis,,False,False,0,False
41560064,cuproptosis,12826202,True,True,18,True
41469517,cuproptosis,12864644,True,True,12,True
41438616,cuproptosis,12721737,True,True,61,True
41394399,cuproptosis,12695801,True,True,11,True
41353707,cuproptosis,12796055,True,True,24,True
41296174,cuproptosis,,False,False,0,False
41220401,cuproptosis,12598532,True,True,18,True
41196839,cuproptosis,,False,False,0,False
41194198,cuproptosis,12587622,True,True,17,True
41169526,cuproptosis,12569579,True,True,13,True
41152153,cuproptosis,12567641,True,True,19,True
40904599,cuproptosis,12402859,True,True,16,True
40889458,cuproptosis,,False,False,0,False
40866730,cuproptosis,,False,False,0,False
40861807,cuproptosis,12374941,True,True,13,True
40764403,cuproptosis,12325781,True,True,16,True
42530271,pyroptosis,,False,False,0,False
42483177,pyroptosis,13384851,True,True,31,True
42436777,pyroptosis,13355264,True,True,17,True
42402362,pyroptosis,13333213,True,True,14,True
42154180,pyroptosis,13350611,True,True,16,True
42023218,pyroptosis,13095739,True,True,19,True
42018081,pyroptosis,13234113,True,True,22,True
41706247,pyroptosis,13022123,True,True,14,True
41467099,pyroptosis,12744581,True,True,13,True
41378027,pyroptosis,12686173,True,True,15,True
41116817,pyroptosis,12535707,True,True,18,True
41025546,pyroptosis,12481447,True,True,14,True
40951345,pyroptosis,12425727,True,True,16,True
40918134,pyroptosis,12408283,True,True,21,True
40895325,pyroptosis,12390916,True,False,0,False
40792135,pyroptosis,12335712,True,True,16,True
40761791,pyroptosis,12318951,True,True,13,True
40680042,pyroptosis,12273967,True,True,29,True
40535818,pyroptosis,12171010,True,True,17,True
40115919,pyroptosis,11921290,True,True,14,True
40091022,pyroptosis,11912741,True,True,16,True
40018411,pyroptosis,11864952,True,True,19,True
39834603,pyroptosis,11745560,True,True,14,True
39695414,pyroptosis,11657507,True,True,17,True
39692974,pyroptosis,11656000,True,True,20,True
39600633,pyroptosis,11588584,True,True,17,True
39565540,pyroptosis,11579272,True,True,16,True
39548036,pyroptosis,11568093,True,True,14,True
39492777,pyroptosis,,False,False,0,False
39438534,pyroptosis,11496652,True,True,17,True
42597273,disulfidptosis,13468262,True,False,0,False
42370567,disulfidptosis,13319833,True,True,19,True
42360660,disulfidptosis,,False,False,0,False
42305499,disulfidptosis,13265212,True,True,15,True
42243619,disulfidptosis,13454080,True,True,12,True
42238598,disulfidptosis,13226520,True,True,18,True
42228246,disulfidptosis,,False,False,0,False
42227538,disulfidptosis,,False,False,0,False
42159885,disulfidptosis,13365117,True,True,11,True
42096008,disulfidptosis,13428733,True,True,18,True
42064080,disulfidptosis,13125098,True,True,19,True
41972548,disulfidptosis,13072260,True,True,13,True
41969446,disulfidptosis,13067177,True,True,23,True
41913195,disulfidptosis,13154570,True,True,14,True
41772623,disulfidptosis,13059523,True,True,14,True
41684457,disulfidptosis,12890678,True,True,13,True
41591656,disulfidptosis,12917064,True,True,31,True
41559666,disulfidptosis,12905907,True,True,25,True
41403951,disulfidptosis,12702948,True,True,14,True
41343099,disulfidptosis,12779885,True,True,13,True
41305807,disulfidptosis,12643716,True,True,11,True
41246257,disulfidptosis,12614471,True,False,0,False
41234897,disulfidptosis,12605202,True,True,16,True
41234845,disulfidptosis,12605368,True,True,15,True
41169393,disulfidptosis,12568621,True,True,14,True
41063164,disulfidptosis,12505621,True,True,19,True
41054252,disulfidptosis,12710123,True,True,16,True
40950677,disulfidptosis,12432606,True,True,16,True
40905868,disulfidptosis,,False,False,0,False
40853395,disulfidptosis,12378281,True,True,17,True
42515887,necroptosis,,False,False,0,False
42274952,necroptosis,13481913,True,True,21,True
41561636,necroptosis,12812879,True,True,12,True
41180485,necroptosis,12579482,True,True,28,True
41158264,necroptosis,12554494,True,True,18,True
40895543,necroptosis,12391139,True,True,18,True
40893939,necroptosis,12391097,True,True,21,True
40740228,necroptosis,12305588,True,True,12,True
40596554,necroptosis,12219082,True,True,19,True
40530113,necroptosis,12170285,True,True,16,True
40104746,necroptosis,11912044,True,True,18,True
39974401,necroptosis,11833364,True,True,16,True
39781726,necroptosis,13312397,True,True,13,True
39747333,necroptosis,11696111,True,True,13,True
39655212,necroptosis,11625674,True,True,15,True
39641162,necroptosis,,False,False,0,False
39333335,necroptosis,11437100,True,True,13,True
39315163,necroptosis,11417173,True,True,16,True
39309864,necroptosis,11415698,True,True,14,True
39263127,necroptosis,11387247,True,True,12,True
39253245,necroptosis,11381599,True,True,18,True
39213052,necroptosis,11380221,True,True,38,True
39115788,necroptosis,,False,False,0,False
39081870,necroptosis,11288355,True,True,11,True
38872949,necroptosis,11170320,True,True,20,True
38797018,necroptosis,11152745,True,True,31,True
38635069,necroptosis,11026213,True,True,30,True
38546403,necroptosis,11042952,True,True,13,True
38439879,necroptosis,10909728,True,True,20,True
38383747,necroptosis,10881509,True,True,12,True
42542475,autophagy,,False,False,0,False
42367125,autophagy,,False,False,0,False
42292425,autophagy,13254102,True,True,20,True
42276250,autophagy,,False,False,0,False
42259854,autophagy,13490468,True,True,15,True
42199837,autophagy,13200625,True,True,19,True
42182752,autophagy,13190119,True,True,18,True
42169872,autophagy,13188033,True,True,14,True
41902657,autophagy,13140268,True,True,41,True
41821654,autophagy,,,,,
41812304,autophagy,12994022,True,True,12,True
41793596,autophagy,13083393,True,True,15,True
41681864,autophagy,12897147,True,True,12,True
41479192,autophagy,,False,False,0,False
41298756,autophagy,12657988,True,True,17,True
41040512,autophagy,12483933,True,True,14,True
40783519,autophagy,12335101,True,True,22,True
40686517,autophagy,,,,,
40592763,autophagy,,,,,
40530112,autophagy,12170119,True,True,17,True
40489463,autophagy,12148105,True,True,26,True
40488804,autophagy,12149082,True,True,25,True
40401006,autophagy,12089887,True,False,0,False
40330698,autophagy,12051938,True,True,18,True
40228246,autophagy,11999454,True,True,9,True
40126694,autophagy,11933596,True,True,18,True
39838125,autophagy,11751285,True,True,8,True
39789383,autophagy,11717666,True,True,14,True
39760097,autophagy,11700244,True,True,51,True
39640604,autophagy,11619975,True,True,15,True
42606648,hypoxia,,False,False,0,False
42584769,hypoxia,13469028,True,True,20,True
41751324,hypoxia,12937755,True,True,17,True
41693851,hypoxia,12906242,True,True,40,True
41584048,hypoxia,12825420,True,True,18,True
41584042,hypoxia,12825148,True,True,14,True
41510071,hypoxia,12776241,True,True,14,True
40933995,hypoxia,12417453,True,True,17,True
40696736,hypoxia,,False,False,0,False
40621799,hypoxia,12239816,True,True,22,True
40593344,hypoxia,,False,False,0,False
40315225,hypoxia,12047781,True,True,16,True
39941131,hypoxia,11818358,True,True,13,True
39663278,hypoxia,,False,False,0,False
39431298,hypoxia,11504279,True,True,17,True
39416790,hypoxia,11479907,True,True,13,True
39385179,hypoxia,11465649,True,True,19,True
39134603,hypoxia,11319349,True,True,14,True
38965505,hypoxia,11225160,True,True,14,True
38902737,hypoxia,11191174,True,True,16,True
38887298,hypoxia,11181350,True,True,18,True
38726277,hypoxia,11076246,True,False,0,False
38700744,hypoxia,11194215,True,True,13,True
38608147,hypoxia,,False,False,0,False
38561760,hypoxia,10986118,True,True,13,True
38496249,hypoxia,10944249,True,True,14,True
38482057,hypoxia,10933109,True,True,15,True
38364250,hypoxia,10929800,True,True,15,True
42528570,glycolysis,13414110,True,True,13,True
42212377,glycolysis,13237520,True,True,12,True
42018095,glycolysis,13234083,True,True,20,True
41973179,glycolysis,13201820,True,True,20,True
41792142,glycolysis,13009203,True,True,26,True
41674985,glycolysis,12885880,True,True,20,True
41345488,glycolysis,12770607,True,True,24,True
40989165,glycolysis,12452079,True,True,21,True
40950877,glycolysis,12433139,True,True,14,True
40842856,glycolysis,12366638,True,True,12,True
40824331,glycolysis,12361035,True,True,15,True
40707588,glycolysis,12290113,True,True,14,True
40687254,glycolysis,12268646,True,True,14,True
40321814,glycolysis,12047218,True,True,20,True
40299448,glycolysis,12024913,True,True,14,True
40264860,glycolysis,12013648,True,True,13,True
40226108,glycolysis,11982773,True,False,0,False
40093327,glycolysis,11906445,True,True,21,True
40047469,glycolysis,,False,False,0,False
40046063,glycolysis,11880812,True,True,20,True
40023306,glycolysis,,False,False,0,False
39507025,glycolysis,11535831,True,True,19,True
39119106,glycolysis,11308995,True,True,15,True
38860098,glycolysis,11163994,True,True,13,True
38685060,glycolysis,11057184,True,True,12,True
38601183,glycolysis,11005085,True,True,24,True
38516783,glycolysis,10975023,True,True,13,True
38337164,glycolysis,,False,False,0,False
38017469,glycolysis,10683108,True,True,21,True
42089102,epithelial-mesenchymal transition,13138313,True,True,45,True
42007152,epithelial-mesenchymal transition,13090938,True,False,0,False
41815135,epithelial-mesenchymal transition,12971541,True,True,18,True
41372983,epithelial-mesenchymal transition,12801907,True,True,11,True
41264061,epithelial-mesenchymal transition,12748320,True,True,12,True
40950705,epithelial-mesenchymal transition,12432770,True,True,15,True
39262476,epithelial-mesenchymal transition,11384925,True,True,20,True
38255198,epithelial-mesenchymal transition,10813330,True,True,19,True
37990105,epithelial-mesenchymal transition,10663558,True,True,13,True
37679111,epithelial-mesenchymal transition,,False,False,0,False
37538794,epithelial-mesenchymal transition,,False,False,0,False
37443495,epithelial-mesenchymal transition,,False,False,0,False
37304549,epithelial-mesenchymal transition,,False,False,0,False
36910014,epithelial-mesenchymal transition,,False,False,0,False
36778912,epithelial-mesenchymal transition,,False,False,0,False
36685840,epithelial-mesenchymal transition,,False,False,0,False
36398231,epithelial-mesenchymal transition,,False,False,0,False
36159424,epithelial-mesenchymal transition,,False,False,0,False
36081504,epithelial-mesenchymal transition,,False,False,0,False
35880752,epithelial-mesenchymal transition,,False,False,0,False
35685422,epithelial-mesenchymal transition,,False,False,0,False
35608185,epithelial-mesenchymal transition,,False,False,0,False
35205261,epithelial-mesenchymal transition,,False,False,0,False
35095892,epithelial-mesenchymal transition,,False,False,0,False
35036605,epithelial-mesenchymal transition,,False,False,0,False
34880375,epithelial-mesenchymal transition,,False,False,0,False
34722623,epithelial-mesenchymal transition,,False,False,0,False
34659539,epithelial-mesenchymal transition,,False,False,0,False
34659346,epithelial-mesenchymal transition,,False,False,0,False
34532136,epithelial-mesenchymal transition,,False,False,0,False
42392347,angiogenesis,,False,False,0,False
42359387,angiogenesis,,False,False,0,False
