pmid,theme,pmcid,has_pmc_link,in_oa_bucket,n_files,downloaded
40677006,cuproptosis,PMC12441886,True,True,12,True
40658149,cuproptosis,,False,False,0,False
40596995,cuproptosis,PMC12211307,True,True,12,True
40512434,cuproptosis,PMC12165929,True,True,22,True
40511343,cuproptosis,PMC12161286,True,True,16,True
40411678,cuproptosis,PMC12103433,True,True,13,True
40410601,cuproptosis,PMC12102457,True,True,14,True
40375037,cuproptosis,PMC12167356,True,True,16,True
40367233,cuproptosis,PMC12077771,True,True,16,True
40349285,cuproptosis,PMC12066386,True,True,15,True
40291472,cuproptosis,PMC12023028,True,True,16,True
40259116,cuproptosis,PMC12011908,True,True,21,True
40235543,cuproptosis,PMC11996820,True,True,12,True
40163162,cuproptosis,PMC11958909,True,True,13,True
40109870,cuproptosis,PMC11915051,True,True,15,True
40070821,cuproptosis,PMC11893572,True,True,17,True
40058422,cuproptosis,,False,False,0,False
40042106,cuproptosis,PMC11880913,True,True,12,True
40034693,cuproptosis,PMC11872909,True,True,19,True
40008552,cuproptosis,PMC11862892,True,True,13,True
39992487,cuproptosis,PMC11850681,True,True,17,True
39974424,cuproptosis,PMC11833422,True,True,14,True
39895793,cuproptosis,PMC11786029,True,True,13,True
39866451,cuproptosis,PMC11759551,True,True,13,True
39747262,cuproptosis,PMC11696132,True,True,18,True
39738206,cuproptosis,PMC11686350,True,True,18,True
39697708,cuproptosis,PMC11651775,True,True,16,True
39678673,cuproptosis,PMC11645962,True,True,13,True
39654205,cuproptosis,PMC11631004,True,True,14,True
39624133,cuproptosis,PMC11610463,True,True,17,True
39557952,cuproptosis,PMC11574080,True,True,18,True
39555457,cuproptosis,PMC11564170,True,True,12,True
39525026,cuproptosis,PMC11543048,True,True,16,True
39525011,cuproptosis,PMC11543060,True,True,13,True
39530098,cuproptosis,PMC11550951,True,True,15,True
39519383,cuproptosis,PMC11546850,True,True,17,True
39496015,cuproptosis,PMC11537572,True,True,13,True
39430854,cuproptosis,PMC11483459,True,True,20,True
39398070,cuproptosis,PMC11471205,True,True,17,True
39377045,cuproptosis,PMC11457769,True,True,14,True
39342548,cuproptosis,PMC11439862,True,True,22,True
39253931,cuproptosis,PMC12728525,True,True,14,True
39251909,cuproptosis,PMC11382408,True,True,30,True
39247274,cuproptosis,PMC11378888,True,True,13,True
39183398,cuproptosis,PMC11346893,True,True,19,True
39170367,cuproptosis,PMC11336372,True,True,20,True
39132167,cuproptosis,PMC11310869,True,True,13,True
39114018,cuproptosis,PMC11305305,True,True,16,True
39029230,cuproptosis,,False,False,0,False
38983852,cuproptosis,PMC11231095,True,True,16,True
38975141,cuproptosis,PMC11226817,True,True,11,True
38952778,cuproptosis,PMC11215279,True,True,17,True
38947313,cuproptosis,PMC11211538,True,True,19,True
38912044,cuproptosis,PMC11192027,True,True,31,True
38879648,cuproptosis,,False,False,0,False
38874871,cuproptosis,PMC11178724,True,True,11,True
38868777,cuproptosis,PMC11168106,True,True,22,True
38839842,cuproptosis,PMC11153514,True,True,14,True
38806973,cuproptosis,,False,False,0,False
38797784,cuproptosis,PMC11128431,True,True,22,True
38778403,cuproptosis,PMC11110395,True,True,15,True
38772805,cuproptosis,,False,False,0,False
38738989,cuproptosis,PMC11164498,True,True,22,True
39246674,autophagy,PMC11379032,True,True,16,True
38942606,autophagy,PMC11272105,True,True,13,True
38704513,autophagy,,False,False,0,False
38616759,autophagy,,False,False,0,False
38455413,autophagy,PMC10915326,True,False,0,False
38321105,autophagy,PMC10847443,True,True,15,True
38282156,autophagy,,False,False,0,False
38240686,autophagy,PMC10866451,True,True,15,True
38204266,autophagy,,False,False,0,False
38042211,autophagy,,False,False,0,False
37813294,autophagy,,False,False,0,False
37702613,autophagy,PMC10522364,True,True,18,True
37661182,autophagy,,False,False,0,False
37450666,autophagy,,False,False,0,False
37390250,autophagy,PMC10313302,True,True,13,True
37370041,autophagy,PMC10294479,True,True,14,True
37120633,autophagy,PMC10148536,True,True,13,True
36937439,autophagy,PMC10022822,True,True,17,True
36894323,autophagy,,False,False,0,False
36861063,autophagy,PMC9970702,True,True,13,True
36856932,autophagy,,False,False,0,False
36829596,autophagy,PMC9952986,True,True,13,True
36814212,autophagy,PMC9945660,True,True,18,True
36689018,autophagy,,False,False,0,False
36636069,autophagy,PMC9830320,True,True,14,True
36624362,autophagy,,False,False,0,False
36591508,autophagy,PMC9798206,True,True,14,True
36586072,autophagy,PMC9805482,True,True,12,True
36578501,autophagy,PMC9791216,True,True,13,True
36530992,autophagy,PMC9753905,True,True,17,True
36496360,autophagy,PMC9741795,True,True,12,True
36465273,autophagy,PMC9718500,True,True,11,True
36408157,autophagy,PMC9669765,True,True,21,True
36389022,autophagy,PMC9662042,True,True,12,True
36386585,autophagy,PMC9653048,True,True,16,True
36311759,autophagy,PMC9606610,True,True,21,True
36276067,autophagy,PMC9585256,True,True,18,True
36254233,autophagy,PMC9569205,True,True,3,True
36211385,autophagy,PMC9533718,True,True,20,True
36210389,autophagy,PMC13325441,True,True,9,True
36178365,autophagy,PMC9550247,True,True,21,True
36177001,autophagy,PMC9513242,True,True,22,True
36118862,autophagy,PMC9479339,True,True,12,True
36105077,autophagy,PMC9466988,True,True,27,True
35981368,autophagy,,False,False,0,False
35941978,autophagy,PMC9356878,True,True,11,True
35928921,autophagy,PMC9345713,True,True,12,True
35923699,autophagy,PMC9342864,True,True,23,True
