pmid,theme,pmcid,has_pmc_link,in_oa_bucket,n_files,downloaded
42359350,anoikis,PMC13293581,True,True,14,True
42258564,anoikis,PMC13245715,True,True,15,True
42245636,anoikis,PMC13229996,True,True,15,True
42180924,anoikis,PMC13190748,True,True,16,True
42071883,anoikis,PMC13124384,True,True,11,True
41806645,anoikis,PMC12993321,True,True,19,True
41608646,anoikis,PMC12835628,True,True,17,True
41559138,anoikis,PMC12894670,True,True,17,True
41198549,anoikis,,False,False,0,False
41187171,anoikis,PMC12585065,True,True,20,True
41112326,anoikis,PMC12533731,True,True,14,True
41105278,anoikis,PMC12534205,True,True,14,True
40927650,anoikis,PMC12415389,True,True,13,True
40901678,anoikis,PMC12399626,True,True,23,True
40859340,anoikis,PMC12382292,True,True,19,True
40830065,anoikis,PMC12366518,True,True,29,True
40820175,anoikis,PMC12358598,True,True,12,True
40792140,anoikis,PMC12335720,True,True,18,True
40792128,anoikis,PMC12335718,True,True,15,True
40746552,anoikis,PMC12311635,True,True,20,True
40675763,anoikis,,False,False,0,False
40661777,anoikis,PMC12256226,True,True,24,True
40643718,anoikis,PMC12254447,True,True,13,True
40599775,anoikis,PMC12209314,True,True,12,True
40495091,anoikis,PMC12151966,True,True,13,True
40447878,anoikis,PMC12125446,True,True,14,True
40123831,anoikis,PMC11928873,True,True,13,True
40028162,anoikis,PMC11868076,True,True,18,True
40020330,anoikis,,False,False,0,False
39981252,anoikis,PMC11839610,True,True,13,True
39913001,anoikis,PMC11802990,True,True,17,True
39910129,anoikis,PMC11799156,True,True,15,True
39850875,anoikis,PMC11754261,True,True,20,True
39664392,anoikis,PMC11631915,True,True,33,True
39611065,anoikis,PMC11602830,True,True,19,True
39568815,anoikis,PMC11576184,True,True,16,True
39525036,anoikis,PMC11543027,True,True,16,True
39444152,anoikis,PMC11504171,True,True,17,True
39431237,anoikis,PMC11491172,True,True,18,True
39391236,anoikis,PMC11464922,True,True,17,True
39383787,anoikis,,False,False,0,False
39329635,anoikis,PMC11428253,True,True,13,True
39300389,anoikis,PMC11411761,True,True,15,True
39268091,anoikis,PMC11388259,True,True,18,True
39168258,anoikis,,False,False,0,False
39154969,anoikis,,False,False,0,False
39116498,anoikis,,False,False,0,False
39040248,anoikis,PMC11261108,True,True,19,True
39029056,anoikis,PMC11398808,True,True,12,True
38957390,anoikis,PMC11217483,True,True,17,True
38953023,anoikis,PMC11215044,True,True,17,True
38947446,anoikis,PMC11214491,True,True,13,True
38850527,anoikis,PMC11210241,True,True,16,True
38840097,anoikis,PMC11151722,True,True,16,True
38835052,anoikis,PMC11149263,True,True,18,True
38824386,anoikis,PMC11155417,True,True,13,True
38802480,anoikis,PMC11130322,True,True,20,True
38787413,anoikis,,False,False,0,False
38779664,anoikis,PMC11109372,True,True,22,True
38737694,anoikis,PMC11082817,True,True,20,True
38737687,anoikis,PMC11082671,True,True,14,True
38728457,anoikis,PMC11081552,True,True,16,True
38572916,anoikis,PMC10993702,True,True,19,True
38507233,anoikis,,False,False,0,False
38482431,anoikis,PMC10928602,True,True,16,True
38385949,anoikis,PMC10929799,True,True,15,True
38381376,anoikis,,False,False,0,False
38377622,anoikis,PMC10996445,True,True,13,True
38373667,anoikis,,False,False,0,False
38332160,anoikis,PMC10853254,True,True,17,True
38319706,anoikis,PMC10911388,True,True,20,True
38318669,anoikis,,False,False,0,False
38310291,anoikis,PMC10837903,True,True,16,True
38305400,anoikis,,False,False,0,False
38274727,anoikis,PMC10807923,True,True,20,True
38238592,anoikis,PMC10796408,True,True,11,True
38226979,anoikis,PMC10866438,True,True,14,True
38217031,anoikis,PMC10785515,True,True,15,True
38141377,anoikis,PMC10788268,True,True,16,True
38062824,anoikis,,False,False,0,False
38053861,anoikis,PMC10694177,True,True,18,True
38049825,anoikis,PMC10694890,True,True,14,True
38017579,anoikis,PMC10683111,True,True,16,True
37989822,anoikis,,False,False,0,False
37986299,anoikis,PMC10659623,True,True,17,True
37985130,anoikis,,False,False,0,False
37965453,anoikis,PMC10641395,True,True,16,True
37930439,anoikis,PMC11797965,True,False,0,False
37904416,anoikis,PMC10615559,True,True,15,True
37899003,anoikis,,False,False,0,False
37842046,anoikis,PMC10576492,True,True,24,True
37807308,anoikis,,False,False,0,False
37787988,anoikis,PMC10599733,True,True,15,True
37767763,anoikis,,False,False,0,False
37759912,anoikis,PMC10527396,True,True,14,True
37736789,anoikis,PMC11797789,True,False,0,False
37688768,anoikis,PMC10522382,True,True,18,True
37679418,anoikis,PMC10484901,True,True,26,True
37664042,anoikis,PMC10469923,True,True,15,True
37575253,anoikis,PMC10413143,True,True,16,True
37502362,anoikis,PMC10369074,True,True,13,True
37478222,anoikis,PMC10662873,True,True,13,True
37474682,anoikis,PMC11797372,True,False,0,False
37456749,anoikis,PMC10339314,True,True,15,True
37450027,anoikis,PMC11797652,True,False,0,False
37421452,anoikis,PMC11796784,True,False,0,False
37417684,anoikis,PMC10439496,True,True,17,True
37401304,anoikis,,False,False,0,False
37385008,anoikis,,False,False,0,False
37383389,anoikis,PMC10295154,True,True,17,True
37370756,anoikis,PMC10296373,True,True,15,True
37323657,anoikis,PMC10265740,True,True,14,True
37318595,anoikis,PMC11796863,True,False,0,False
37300839,anoikis,PMC10259301,True,True,18,True
37259225,anoikis,,False,False,0,False
37215879,anoikis,PMC10196614,True,True,18,True
37213475,anoikis,PMC10199682,True,True,11,True
37182175,anoikis,PMC10172511,True,True,20,True
37169018,anoikis,PMC10165631,True,True,16,True
37118620,anoikis,,False,False,0,False
37081871,anoikis,PMC10111050,True,True,21,True
37065587,anoikis,PMC10089838,True,True,19,True
37056778,anoikis,PMC10086373,True,True,16,True
37035149,anoikis,PMC10076677,True,True,16,True
37021052,anoikis,PMC10067583,True,True,19,True
36996495,anoikis,PMC10120907,True,True,13,True
36925640,anoikis,PMC10011703,True,True,14,True
36769187,anoikis,PMC9918018,True,True,13,True
36726781,anoikis,PMC9884695,True,True,15,True
36685842,anoikis,PMC9845267,True,True,13,True
36630752,anoikis,,False,False,0,False
36507553,anoikis,PMC9870742,True,True,14,True
36505486,anoikis,PMC9732092,True,True,16,True
36401385,anoikis,PMC9678618,True,True,16,True
36338978,anoikis,PMC9627172,True,True,14,True
36249029,anoikis,PMC9557223,True,True,17,True
42507662,PANoptosis,,False,False,0,False
42474130,PANoptosis,PMC13385609,True,True,24,True
42421178,PANoptosis,PMC13395004,True,True,14,True
42376459,PANoptosis,PMC13311090,True,True,12,True
42305471,PANoptosis,PMC13265210,True,True,15,True
42298613,PANoptosis,PMC13501653,True,True,18,True
42273677,PANoptosis,PMC13247639,True,True,13,True
41998299,PANoptosis,PMC13216398,True,True,21,True
41649622,PANoptosis,PMC12976243,True,True,17,True
41622175,PANoptosis,PMC12952049,True,True,16,True
41490727,PANoptosis,PMC12768572,True,False,0,False
41451445,PANoptosis,PMC12745600,True,True,21,True
41438490,PANoptosis,PMC12719402,True,True,42,True
41409300,PANoptosis,PMC12705637,True,True,21,True
41332473,PANoptosis,PMC12668651,True,True,15,True
41273616,PANoptosis,PMC12748498,True,True,13,True
41207123,PANoptosis,PMC12639453,True,True,16,True
41182569,PANoptosis,,False,False,0,False
41141246,PANoptosis,PMC12549201,True,True,11,True
41117866,PANoptosis,PMC12540239,True,True,20,True
40672091,PANoptosis,PMC12261015,True,True,12,True
40643861,PANoptosis,PMC12254108,True,True,18,True
40628169,PANoptosis,,False,False,0,False
40594894,PANoptosis,PMC12219422,True,True,17,True
40547036,PANoptosis,PMC12179157,True,True,14,True
40415324,PANoptosis,,False,False,0,False
40353888,PANoptosis,PMC12069423,True,True,12,True
40324259,PANoptosis,PMC12055095,True,True,17,True
40233411,PANoptosis,PMC12904247,True,True,30,True
40232576,PANoptosis,PMC11999922,True,True,12,True
40211224,PANoptosis,PMC11987197,True,True,18,True
40204520,PANoptosis,,False,False,0,False
40044828,PANoptosis,PMC11882779,True,True,17,True
40008397,PANoptosis,PMC11858721,True,True,12,True
39765120,PANoptosis,,False,False,0,False
39634422,PANoptosis,PMC11616514,True,True,18,True
39624400,PANoptosis,PMC11609415,True,True,20,True
39554569,PANoptosis,PMC11565111,True,True,17,True
39491451,PANoptosis,,False,False,0,False
39430460,PANoptosis,PMC11489348,True,True,18,True
39331898,PANoptosis,PMC11441883,True,True,14,True
39287311,PANoptosis,PMC11404910,True,True,14,True
39248067,PANoptosis,,False,False,0,False
39127853,PANoptosis,PMC11632078,True,True,11,True
39104814,PANoptosis,PMC11298382,True,True,15,True
38845990,PANoptosis,PMC11153176,True,True,16,True
38742112,PANoptosis,PMC11089137,True,True,16,True
38577605,PANoptosis,PMC10988298,True,True,16,True
38508210,PANoptosis,,False,False,0,False
38467314,PANoptosis,,False,False,0,False
38371527,PANoptosis,PMC10873882,True,True,18,True
38169571,PANoptosis,PMC10758028,True,True,14,True
37671354,PANoptosis,PMC10476615,True,True,30,True
37666920,PANoptosis,PMC10477271,True,True,15,True
37519797,PANoptosis,PMC10382139,True,True,17,True
37501725,PANoptosis,PMC10369193,True,True,20,True
37455906,PANoptosis,PMC10338225,True,True,9,True
37313428,PANoptosis,PMC10260314,True,True,14,True
37171396,PANoptosis,PMC10258029,True,True,17,True
42664787,lactylation,,False,False,0,False
42659456,lactylation,PMC13502778,True,True,16,True
42591440,lactylation,PMC13461941,True,True,17,True
42541343,lactylation,,False,False,0,False
42451648,lactylation,PMC13362542,True,True,15,True
42342961,lactylation,,False,False,0,False
42234248,lactylation,PMC13447652,True,True,20,True
42212139,lactylation,PMC13212231,True,True,15,True
42192326,lactylation,PMC13397735,True,True,16,True
42148081,lactylation,PMC13176175,True,True,13,True
42118848,lactylation,PMC13170386,True,True,21,True
42059994,lactylation,PMC13272733,True,True,14,True
42042076,lactylation,PMC13114778,True,True,11,True
41908151,lactylation,PMC13017068,True,True,24,True
41851557,lactylation,PMC13121646,True,True,37,True
41828710,lactylation,PMC12986180,True,True,13,True
41751785,lactylation,PMC12940179,True,True,15,True
41743011,lactylation,PMC12930515,True,True,18,True
41645330,lactylation,PMC12973827,True,True,30,True
41582583,lactylation,,False,False,0,False
41547876,lactylation,PMC12896297,True,True,11,True
41296151,lactylation,PMC12748479,True,True,12,True
41275140,lactylation,PMC12750639,True,True,23,True
41205015,lactylation,,False,False,0,False
41026305,lactylation,PMC12484495,True,True,17,True
40964497,lactylation,PMC12439706,True,True,9,True
40963603,lactylation,PMC12436506,True,True,14,True
40950343,lactylation,PMC12432915,True,True,21,True
40853584,lactylation,PMC12379661,True,True,13,True
40741410,lactylation,PMC12307209,True,True,15,True
40672391,lactylation,PMC12263385,True,True,24,True
40511304,lactylation,PMC12159215,True,True,21,True
40404912,lactylation,PMC12098243,True,True,15,True
40327181,lactylation,PMC12055729,True,True,21,True
40256656,lactylation,PMC12006012,True,True,12,True
40161494,lactylation,PMC11952923,True,True,17,True
40072643,lactylation,,False,False,0,False
39900790,lactylation,,False,False,0,False
39765285,lactylation,,False,False,0,False
39724993,lactylation,,False,False,0,False
39696439,lactylation,PMC11656871,True,True,23,True
39669362,lactylation,PMC11634757,True,True,16,True
39590360,lactylation,PMC11593262,True,True,15,True
38956267,lactylation,PMC11219856,True,True,16,True
38817665,lactylation,PMC11135411,True,True,14,True
41403629,lactylation,PMC12703606,True,True,10,True
38566813,lactylation,PMC10985269,True,True,18,True
38419085,lactylation,PMC10900655,True,True,16,True
38009602,lactylation,,False,False,0,False
37400571,lactylation,PMC11796770,True,False,0,False
37242427,lactylation,PMC10221268,True,True,13,True
41982336,N7-methylguanosine,PMC13071161,True,True,13,True
41981105,N7-methylguanosine,PMC13237151,True,True,18,True
41847631,N7-methylguanosine,PMC12991311,True,True,14,True
41056007,N7-methylguanosine,PMC12825866,True,True,15,True
40478476,N7-methylguanosine,PMC12144014,True,True,15,True
40018039,N7-methylguanosine,PMC11864954,True,True,20,True
39440245,N7-methylguanosine,PMC11493627,True,True,18,True
39440068,N7-methylguanosine,PMC11493003,True,True,14,True
39440054,N7-methylguanosine,PMC11493006,True,True,18,True
39436635,N7-methylguanosine,,False,False,0,False
38988942,N7-methylguanosine,PMC11231774,True,True,15,True
38987843,N7-methylguanosine,PMC11234703,True,True,14,True
38707306,N7-methylguanosine,PMC11068534,True,True,12,True
38628712,N7-methylguanosine,PMC11017060,True,True,15,True
38482248,N7-methylguanosine,PMC10932661,True,True,15,True
37925170,N7-methylguanosine,PMC10683595,True,True,14,True
37847055,N7-methylguanosine,,False,False,0,False
37435203,N7-methylguanosine,PMC10331757,True,True,17,True
37353728,N7-methylguanosine,PMC10288749,True,True,20,True
37238181,N7-methylguanosine,PMC10217316,True,True,14,True
37158958,N7-methylguanosine,PMC10165842,True,True,22,True
37139222,N7-methylguanosine,PMC10149372,True,True,21,True
37116150,N7-methylguanosine,PMC10352730,True,True,11,True
36920166,N7-methylguanosine,PMC10085590,True,True,13,True
36895966,N7-methylguanosine,PMC9989616,True,False,0,False
36816047,N7-methylguanosine,PMC9935680,True,True,18,True
36661684,N7-methylguanosine,PMC9857529,True,True,17,True
36636051,N7-methylguanosine,PMC9830319,True,True,13,True
36635678,N7-methylguanosine,PMC9838007,True,True,14,True
36473947,N7-methylguanosine,PMC9726938,True,True,14,True
36353118,N7-methylguanosine,PMC9639662,True,True,22,True
36333719,N7-methylguanosine,PMC9636639,True,True,20,True
36313442,N7-methylguanosine,PMC9608183,True,True,12,True
36313441,N7-methylguanosine,PMC9614021,True,True,13,True
36185235,N7-methylguanosine,PMC9520617,True,True,17,True
36110218,N7-methylguanosine,PMC9468367,True,True,24,True
36105111,N7-methylguanosine,PMC9465161,True,True,14,True
36091687,N7-methylguanosine,PMC9449120,True,True,21,True
36081998,N7-methylguanosine,PMC9445240,True,True,22,True
35992788,N7-methylguanosine,PMC9386370,True,True,13,True
35982949,N7-methylguanosine,PMC9380062,True,True,15,True
35938009,N7-methylguanosine,PMC9354608,True,True,17,True
35937987,N7-methylguanosine,PMC9352958,True,True,16,True
35784919,N7-methylguanosine,PMC9246272,True,True,23,True
35771136,N7-methylguanosine,PMC9271298,True,True,15,True
35602299,N7-methylguanosine,PMC9122703,True,True,15,True
35495133,N7-methylguanosine,PMC9043611,True,True,13,True
42591630,N1-methyladenosine,PMC13462669,True,True,15,True
41882633,N1-methyladenosine,PMC13137507,True,True,17,True
39132150,N1-methyladenosine,PMC11310873,True,True,17,True
37228500,N1-methyladenosine,PMC10203515,True,True,15,True
37178414,N1-methyladenosine,PMC10284980,True,True,14,True
37170222,N1-methyladenosine,PMC10173529,True,True,13,True
37042849,N1-methyladenosine,PMC10101678,True,True,18,True
36980686,N1-methyladenosine,PMC10046959,True,True,12,True
36118888,N1-methyladenosine,PMC9479131,True,True,13,True
36066162,N1-methyladenosine,,False,False,0,False
35692827,N1-methyladenosine,PMC9178125,True,True,14,True
35464855,N1-methyladenosine,PMC9019570,True,True,17,True
34532096,N1-methyladenosine,PMC8421903,True,False,0,False
39323814,5-methylcytosine,PMC11422048,True,True,14,True
39285452,5-methylcytosine,PMC11403863,True,True,12,True
38045198,5-methylcytosine,PMC10689887,True,True,18,True
37523897,5-methylcytosine,PMC10400932,True,True,16,True
35571068,5-methylcytosine,PMC9092148,True,True,18,True
35371346,5-methylcytosine,PMC8966750,True,True,20,True
34777473,5-methylcytosine,PMC8585929,True,True,12,True
42436798,mitophagy,PMC13355270,True,True,18,True
42180966,mitophagy,PMC13190706,True,True,21,True
41968706,mitophagy,,False,False,0,False
41851738,mitophagy,PMC13112628,True,True,22,True
41583513,mitophagy,PMC12825130,True,True,14,True
41487520,mitophagy,PMC12756432,True,True,15,True
41266404,mitophagy,PMC12635252,True,True,27,True
40873580,mitophagy,PMC12378125,True,True,19,True
40715300,mitophagy,PMC12297329,True,True,13,True
40576912,mitophagy,,False,False,0,False
40453965,mitophagy,PMC12124313,True,True,14,True
40000809,mitophagy,PMC11861672,True,True,12,True
