gene,top_celltype,wilcoxon_z
ADAM8,Macro,116.86
APP,Epi,214.55
ARMCX2,Fibro,91.06
BIRC5,Epi,113.28
CALB2,Mast,125.55
CCL11,Fibro,206.81
CCL24,Macro,30.67
CD36,Macro,160.39
COL3A1,Fibro,335.8
CXCL10,Macro,120.27
CXCL11,Epi,55.56
CXCL12,Fibro,183.42
CXCL13,TCD8,229.2
CYP1B1,Endo,91.84
FABP4,Endo,103.45
FSTL3,Fibro,104.44
GABRE,Epi,136.8
HOXC6,Epi,61.26
HSPA1A,Macro,113.0
ITLN1,Epi,130.95
KDR,Endo,337.35
KIF13B,Epi,127.2
KLK10,Epi,120.41
LEF1,TCD4,87.49
LTBP1,Fibro,115.34
MEIS2,Endo,117.11
MELTF,Epi,136.65
MMP1,Fibro,76.16
MMP11,Fibro,124.73
MMP12,Macro,278.23
MMP14,Macro,220.88
MMP3,Fibro,104.35
PCSK5,Epi,70.15
S100A4,TCD4,137.97
SCG2,Fibro,42.76
SLC2A3,Mono,144.16
SPINK1,Epi,301.88
SPP1,Macro,212.96
STC1,Endo,232.63
TIMP1,Mono,162.47
VCAN,Mono,277.68
VEGFA,Epi,140.22
VSIG4,Macro,298.75
ZNF532,Endo,87.59
