model,significant_fdr05_z,top_category_z,significant_fdr05_w,top_category_w,sig_agree,category_agree
PMC10046686_pyroptosis_lncRNA_STAD,False,Stromal_Vascular,True,Epithelial_mixed,False,False
PMC10076677_anoikis_lncRNA_OS,False,Stromal_Vascular,True,Stromal_Vascular,False,True
PMC10085621_hypoxia_NSCLC,True,Immune_Hematopoietic,True,Immune_Hematopoietic,True,True
PMC10140328_CAF_BLCA,True,Stromal_Vascular,True,Stromal_Vascular,True,True
PMC10164321_pyroptosis_HCC,False,Immune_Hematopoietic,False,Malignant,True,False
PMC10184413_cuproptosis_ferroptosis_KIRC,False,Stromal_Vascular,False,Stromal_Vascular,True,True
PMC10287976_chromatin_UVM,False,Immune_Hematopoietic,True,Malignant,False,False
PMC10294479_autophagy_HCC,False,Malignant,True,Malignant,False,True
PMC10339815_DDR_lncRNA_STAD,False,Stromal_Vascular,False,Epithelial_mixed,True,False
PMC10414028_hypoxia_LUAD,False,Immune_Hematopoietic,True,Immune_Hematopoietic,False,True
PMC10469729_glutamine_UCEC,True,Stromal_Vascular,True,Stromal_Vascular,True,True
PMC10469923_anoikis_PRAD,True,Stromal_Vascular,True,Stromal_Vascular,True,True
PMC10475834_cuproptosis_lncRNA_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC10531437_lipid_ERstress_CRC,True,Stromal_Vascular,True,Stromal_Vascular,True,True
PMC10564413_senescence_CESC,False,Stromal_Vascular,False,Malignant,True,False
PMC10599730_ERstress_OSCC,False,Stromal_Vascular,True,Stromal_Vascular,False,True
PMC10616163_chromatin_HCC,False,Malignant,False,Malignant,True,True
PMC10662873_anoikis_HCC,False,Malignant,True,Malignant,False,True
PMC10683111_anoikis_lncRNA_HNSCC,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC10791883_CAF_BRCA,True,Stromal_Vascular,True,Stromal_Vascular,True,True
PMC10807923_anoikis_OV,True,Stromal_Vascular,True,Stromal_Vascular,True,True
PMC10900655_lactylation_CRC,True,Stromal_Vascular,True,Epithelial_mixed,True,False
PMC10932653_chromatin_HCC,False,Malignant,True,Malignant,False,True
PMC10980369_ERstress_SKCM,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC11085026_ESR_BRCA,False,Malignant,True,Malignant,False,True
PMC11178724_cuproptosis_methylation_SKCM,True,Immune_Hematopoietic,True,Immune_Hematopoietic,True,True
PMC11297001_oxidative_stress_COAD,False,Stromal_Vascular,True,Epithelial_mixed,False,False
PMC11310873_lncRNA_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC11382408_cuproptosis_HCC,False,Stromal_Vascular,True,Malignant,False,False
PMC11384320_m6A_ferroptosis_COAD,False,Stromal_Vascular,True,Epithelial_mixed,False,False
PMC11411761_anoikis_BRCA,False,Malignant,True,Malignant,False,True
PMC11483459_cuproptosis_CRC,False,Stromal_Vascular,True,Epithelial_mixed,False,False
PMC11491388_disulfidptosis_lncRNA_HCC,False,Malignant,True,Malignant,False,True
PMC11504279_hypoxia_PAAD,False,Malignant,False,Malignant,True,True
PMC11550951_cuproptosis_lncRNA_PRAD,False,Stromal_Vascular,False,Stromal_Vascular,True,True
PMC11564170_cuproptosis_AML,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC11577587_glutamine_HCC,True,Malignant,True,Malignant,True,True
PMC11634757_lactylation_STAD,False,Stromal_Vascular,False,Stromal_Vascular,True,True
PMC11656000_pyroptosis_CRC,False,Stromal_Vascular,False,Immune_Hematopoietic,True,False
PMC11760997_senescence_STAD,True,Stromal_Vascular,True,Stromal_Vascular,True,True
PMC11855622_mitophagyE3_BRCA,False,Malignant,True,Malignant,False,True
PMC11866598_telomere_HCC,True,Malignant,True,Malignant,True,True
PMC11914417_disulfidptosis_CRC,False,Epithelial_mixed,True,Epithelial_mixed,False,True
PMC11920466_COAD,False,Stromal_Vascular,False,Stromal_Vascular,True,True
PMC12047218_glycolysis_OS,False,Malignant,True,Malignant,False,True
PMC12055729_lactylation_UCEC,False,Stromal_Vascular,False,Stromal_Vascular,True,True
PMC12078231_ubiquitination_ALL,False,Malignant,True,Malignant,False,True
PMC12084325_disulfidptosis_lncRNA_AML,False,Malignant,True,Malignant,False,True
PMC12179157_PANoptosis_SKCM,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC12210501_ferroptosis_LUAD,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC12219082_necroptosis_SKCM,True,Immune_Hematopoietic,False,Immune_Hematopoietic,False,True
PMC12239816_hypoxia_Glioma,False,Immune_Hematopoietic,True,Malignant,False,False
PMC12354743_NETs_Glioma,False,Malignant,False,Malignant,True,True
PMC12378281_disulfidptosis_AML,False,Immune_Hematopoietic,True,Immune_Hematopoietic,False,True
PMC12399450_mitochondrial_STAD,False,Stromal_Vascular,False,Epithelial_mixed,True,False
PMC12402452_exosome_AML,False,Immune_Hematopoietic,False,Immune_Hematopoietic,True,True
PMC12504172_nucleotide_MB,True,Malignant,True,Malignant,True,True
PMC12647489_cholesterol_HCC,True,Malignant,True,Malignant,True,True
PMC12891303_CAF_BLCA,True,Stromal_Vascular,True,Stromal_Vascular,True,True
